Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,DeleteReservation,1750903541.980965,102,91,1
3,FindOpenSeats,1750903541.981020,17437,68,1
6,UpdateReservation,1750903541.981138,115,67,1
4,NewReservation,1750903541.981220,150812,79,1
4,NewReservation,1750903541.981246,136479,91,1
4,NewReservation,1750903541.981286,189890,67,1
4,NewReservation,1750903541.981372,150660,70,1
3,FindOpenSeats,1750903541.981496,16737,75,1
3,FindOpenSeats,1750903541.981638,32771,74,1
5,UpdateCustomer,1750903541.981688,102137,76,1
3,FindOpenSeats,1750903541.981825,21524,89,1
1,DeleteReservation,1750903541.981984,30,81,1
4,NewReservation,1750903541.982039,189961,86,1
6,UpdateReservation,1750903541.982047,176,81,1
3,FindOpenSeats,1750903541.982161,21365,78,1
4,NewReservation,1750903541.982251,137857,81,1
2,FindFlights,1750903541.982354,51369,87,1
4,NewReservation,1750903541.982422,168838,85,1
2,FindFlights,1750903541.982568,113747,94,1
5,UpdateCustomer,1750903541.982679,170227,99,1
5,UpdateCustomer,1750903541.982806,109459,96,1
1,DeleteReservation,1750903541.982920,80,98,1
4,NewReservation,1750903541.982993,3855,80,1
3,FindOpenSeats,1750903541.983030,33006,98,1
5,UpdateCustomer,1750903541.983141,108683,77,1
5,UpdateCustomer,1750903541.983220,99946,90,1
4,NewReservation,1750903541.983350,3682,88,1
4,NewReservation,1750903541.983501,148166,92,1
3,FindOpenSeats,1750903541.983548,20036,97,1
6,UpdateReservation,1750903541.983707,105,6,1
3,FindOpenSeats,1750903541.983841,43639,6,1
3,FindOpenSeats,1750903541.983842,34681,95,1
5,UpdateCustomer,1750903541.983903,137245,84,1
3,FindOpenSeats,1750903541.984026,42212,93,1
3,FindOpenSeats,1750903541.984073,41924,82,1
3,FindOpenSeats,1750903541.984100,43894,11,1
6,UpdateReservation,1750903541.984139,59,3,1
1,DeleteReservation,1750903541.984179,31,2,1
4,NewReservation,1750903541.984206,169535,1,1
3,FindOpenSeats,1750903541.984232,47578,3,1
1,DeleteReservation,1750903541.984243,65,2,1
6,UpdateReservation,1750903541.984344,50,2,1
1,DeleteReservation,1750903541.984425,88,2,1
6,UpdateReservation,1750903541.984548,50,2,1
4,NewReservation,1750903541.984636,212324,2,1
4,NewReservation,1750903541.984637,2818,0,1
5,UpdateCustomer,1750903541.984665,107592,5,1
2,FindFlights,1750903541.984739,134673,21,1
4,NewReservation,1750903541.984801,167509,10,1
5,UpdateCustomer,1750903541.984834,121025,9,1
3,FindOpenSeats,1750903541.984890,35653,8,1
5,UpdateCustomer,1750903541.984951,139925,12,1
5,UpdateCustomer,1750903541.984993,133979,7,1
3,FindOpenSeats,1750903541.985041,55662,17,1
5,UpdateCustomer,1750903541.985080,105977,13,1
3,FindOpenSeats,1750903541.985123,37851,19,1
6,UpdateReservation,1750903541.985175,68,24,1
4,NewReservation,1750903541.985309,170751,24,1
4,NewReservation,1750903541.985362,6666,16,1
6,UpdateReservation,1750903541.985727,64,4,1
4,NewReservation,1750903541.985767,166787,25,1
6,UpdateReservation,1750903541.985828,48,4,1
3,FindOpenSeats,1750903541.985841,47191,26,1
4,NewReservation,1750903541.985868,165840,15,1
1,DeleteReservation,1750903541.985912,21,4,1
3,FindOpenSeats,1750903541.985966,39893,4,1
6,UpdateReservation,1750903541.986016,66,20,1
3,FindOpenSeats,1750903541.986126,36836,14,1
3,FindOpenSeats,1750903541.986143,46478,20,1
2,FindFlights,1750903541.986171,84841,33,1
4,NewReservation,1750903541.986844,184311,22,1
3,FindOpenSeats,1750903541.986890,30928,80,1
3,FindOpenSeats,1750903541.986952,45637,27,1
4,NewReservation,1750903541.987067,165282,38,1
5,UpdateCustomer,1750903541.987072,130467,88,1
3,FindOpenSeats,1750903541.987108,40501,34,1
3,FindOpenSeats,1750903541.987271,44611,41,1
5,UpdateCustomer,1750903541.987291,96707,32,1
3,FindOpenSeats,1750903541.987294,32544,29,1
6,UpdateReservation,1750903541.987345,67,37,1
3,FindOpenSeats,1750903541.987381,29181,35,1
4,NewReservation,1750903541.987428,164736,36,1
3,FindOpenSeats,1750903541.987462,37315,30,1
5,UpdateCustomer,1750903541.987476,126653,37,1
6,UpdateReservation,1750903541.987517,62,28,1
4,NewReservation,1750903541.987525,1466,0,1
4,NewReservation,1750903541.987586,171819,23,1
3,FindOpenSeats,1750903541.987616,40875,28,1
5,UpdateCustomer,1750903541.987642,130133,39,1
3,FindOpenSeats,1750903541.987699,44206,18,1
4,NewReservation,1750903541.987751,169114,43,1
4,NewReservation,1750903541.987829,164860,40,1
6,UpdateReservation,1750903541.988028,89,31,1
3,FindOpenSeats,1750903541.988115,36220,42,1
4,NewReservation,1750903541.988161,163011,31,1
4,NewReservation,1750903541.988252,182732,46,1
4,NewReservation,1750903541.988373,170068,44,1
5,UpdateCustomer,1750903541.988615,162351,45,1
3,FindOpenSeats,1750903541.989040,51832,0,1
3,FindOpenSeats,1750903541.989084,42721,57,1
2,FindFlights,1750903541.989152,98789,51,1
3,FindOpenSeats,1750903541.989392,36187,48,1
5,UpdateCustomer,1750903541.989441,93280,49,1
2,FindFlights,1750903541.989633,88092,47,1
4,NewReservation,1750903541.989721,167864,50,1
6,UpdateReservation,1750903541.989776,434,54,1
3,FindOpenSeats,1750903541.990250,41666,54,1
6,UpdateReservation,1750903541.990387,50,63,1
3,FindOpenSeats,1750903541.990485,37792,63,1
5,UpdateCustomer,1750903541.990571,101694,61,1
6,UpdateReservation,1750903541.991021,88,53,1
3,FindOpenSeats,1750903541.991070,40872,55,1
2,FindFlights,1750903541.991076,116689,52,1
6,UpdateReservation,1750903541.991136,66,60,1
4,NewReservation,1750903541.991175,180396,53,1
3,FindOpenSeats,1750903541.991244,41456,56,1
3,FindOpenSeats,1750903541.991250,28203,60,1
6,UpdateReservation,1750903541.991365,63,59,1
5,UpdateCustomer,1750903541.991437,100733,62,1
3,FindOpenSeats,1750903541.991467,38211,59,1
1,DeleteReservation,1750903541.991866,23,58,1
3,FindOpenSeats,1750903541.991930,27711,58,1
5,UpdateCustomer,1750903541.992070,100120,16,1
3,FindOpenSeats,1750903541.992282,35205,71,1
1,DeleteReservation,1750903541.992549,34,69,1
3,FindOpenSeats,1750903541.992623,28667,69,1
5,UpdateCustomer,1750903541.993644,128728,65,1
2,FindFlights,1750903541.993810,132491,66,1
3,FindOpenSeats,1750903541.994271,31680,72,1
1,DeleteReservation,1750903541.994327,32,73,1
1,DeleteReservation,1750903541.994339,34,64,1
3,FindOpenSeats,1750903541.994390,38935,73,1
6,UpdateReservation,1750903541.994403,60,64,1
3,FindOpenSeats,1750903541.994863,32672,64,1
5,UpdateCustomer,1750903541.998268,115902,75,1
2,FindFlights,1750903541.998507,71580,68,1
3,FindOpenSeats,1750903542.003460,39181,89,1
3,FindOpenSeats,1750903542.003566,28862,78,1
5,UpdateCustomer,1750903542.003653,88281,97,1
3,FindOpenSeats,1750903542.014473,20801,74,1
2,FindFlights,1750903542.016092,153220,98,1
6,UpdateReservation,1750903542.016650,77,35,1
3,FindOpenSeats,1750903542.016767,24587,35,1
3,FindOpenSeats,1750903542.017849,19571,80,1
2,FindFlights,1750903542.018556,103391,95,1
2,FindFlights,1750903542.019493,135694,60,1
6,UpdateReservation,1750903542.019681,59,58,1
3,FindOpenSeats,1750903542.019773,21062,58,1
3,FindOpenSeats,1750903542.019869,27461,29,1
2,FindFlights,1750903542.020573,90920,8,1
1,DeleteReservation,1750903542.021322,58,69,1
2,FindFlights,1750903542.021429,108014,69,1
6,UpdateReservation,1750903542.023011,74,14,1
4,NewReservation,1750903542.023021,136378,19,1
3,FindOpenSeats,1750903542.023113,19468,14,1
5,UpdateCustomer,1750903542.024396,95036,42,1
3,FindOpenSeats,1750903542.024817,15415,30,1
5,UpdateCustomer,1750903542.025628,94986,48,1
4,NewReservation,1750903542.026042,5431,72,1
3,FindOpenSeats,1750903542.026156,19133,4,1
5,UpdateCustomer,1750903542.026194,92902,82,1
3,FindOpenSeats,1750903542.026573,15007,93,1
4,NewReservation,1750903542.027523,144656,6,1
4,NewReservation,1750903542.027536,144395,71,1
6,UpdateReservation,1750903542.027576,104,64,1
6,UpdateReservation,1750903542.027648,58,34,1
3,FindOpenSeats,1750903542.027718,14814,64,1
3,FindOpenSeats,1750903542.027731,23911,34,1
3,FindOpenSeats,1750903542.028057,33021,11,1
3,FindOpenSeats,1750903542.028339,17340,63,1
4,NewReservation,1750903542.028559,125183,28,1
5,UpdateCustomer,1750903542.029717,90386,59,1
6,UpdateReservation,1750903542.031555,146,72,1
3,FindOpenSeats,1750903542.031740,25883,72,1
3,FindOpenSeats,1750903542.031855,37749,57,1
3,FindOpenSeats,1750903542.031862,12769,3,1
4,NewReservation,1750903542.031923,131162,41,1
1,DeleteReservation,1750903542.031944,27,18,1
3,FindOpenSeats,1750903542.031957,24861,54,1
3,FindOpenSeats,1750903542.031977,24651,55,1
4,NewReservation,1750903542.032003,121155,18,1
1,DeleteReservation,1750903542.032468,33,78,1
6,UpdateReservation,1750903542.032528,52,78,1
2,FindFlights,1750903542.032611,65710,78,1
4,NewReservation,1750903542.032627,140660,27,1
3,FindOpenSeats,1750903542.032667,35239,20,1
6,UpdateReservation,1750903542.032739,59,56,1
2,FindFlights,1750903542.032832,74966,56,1
3,FindOpenSeats,1750903542.033088,23698,26,1
4,NewReservation,1750903542.033357,122188,73,1
2,FindFlights,1750903542.033754,199684,87,1
5,UpdateCustomer,1750903542.035315,86291,74,1
4,NewReservation,1750903542.037661,137521,80,1
6,UpdateReservation,1750903542.040982,68,30,1
3,FindOpenSeats,1750903542.041024,29333,0,1
6,UpdateReservation,1750903542.041090,28,30,1
3,FindOpenSeats,1750903542.041103,26771,58,1
6,UpdateReservation,1750903542.041151,34,30,1
4,NewReservation,1750903542.041158,129986,17,1
6,UpdateReservation,1750903542.041206,24,30,1
6,UpdateReservation,1750903542.041249,22,30,1
6,UpdateReservation,1750903542.041289,22,30,1
2,FindFlights,1750903542.041329,79991,30,1
3,FindOpenSeats,1750903542.041403,19663,35,1
5,UpdateCustomer,1750903542.041620,82996,93,1
1,DeleteReservation,1750903542.042572,27,64,1
5,UpdateCustomer,1750903542.042625,112226,14,1
6,UpdateReservation,1750903542.042633,68,64,1
1,DeleteReservation,1750903542.042683,28,89,1
3,FindOpenSeats,1750903542.042735,25454,64,1
5,UpdateCustomer,1750903542.042744,89937,89,1
3,FindOpenSeats,1750903542.044673,24067,3,1
1,DeleteReservation,1750903542.045355,34,4,1
3,FindOpenSeats,1750903542.045421,23747,4,1
2,FindFlights,1750903542.045725,123856,63,1
4,NewReservation,1750903542.047417,149952,29,1
3,FindOpenSeats,1750903542.051696,22739,34,1
1,DeleteReservation,1750903542.056665,24,55,1
3,FindOpenSeats,1750903542.056705,19644,55,1
5,UpdateCustomer,1750903542.056817,75909,26,1
5,UpdateCustomer,1750903542.056847,94983,54,1
4,NewReservation,1750903542.057667,6396,72,1
5,UpdateCustomer,1750903542.061105,90147,35,1
6,UpdateReservation,1750903542.061116,57,11,1
3,FindOpenSeats,1750903542.061210,34825,11,1
2,FindFlights,1750903542.064100,114867,72,1
3,FindOpenSeats,1750903542.068287,21417,64,1
6,UpdateReservation,1750903542.068983,108,3,1
3,FindOpenSeats,1750903542.069124,14773,3,1
6,UpdateReservation,1750903542.069339,89,4,1
5,UpdateCustomer,1750903542.069358,63027,58,1
4,NewReservation,1750903542.069504,128224,4,1
2,FindFlights,1750903542.069640,75596,57,1
3,FindOpenSeats,1750903542.069903,15091,20,1
5,UpdateCustomer,1750903542.070135,292220,68,1
3,FindOpenSeats,1750903542.070394,25556,0,1
2,FindFlights,1750903542.071056,84945,33,1
4,NewReservation,1750903542.074464,122733,34,1
3,FindOpenSeats,1750903542.076389,19435,55,1
1,DeleteReservation,1750903542.077755,19,47,1
4,NewReservation,1750903542.077789,119956,47,1
