Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,163.200,71.478,0.004,6.339,87.738,105.687,127.058,140.536,184.284,211.036,0.014
5,145.800,102.201,0.010,93.327,113.051,129.676,147.668,159.287,182.232,200.582,0.010
10,143.600,104.303,4.590,91.696,109.421,132.465,156.272,173.215,210.629,529.809,0.010
15,140.800,108.015,4.848,99.813,114.510,134.137,156.758,173.656,210.296,268.124,0.009
20,127.000,107.640,0.005,93.035,115.204,136.983,159.154,178.412,238.946,472.209,0.009
25,126.200,108.083,4.795,100.321,117.421,133.842,156.844,172.643,216.038,340.882,0.009
30,125.200,106.863,4.600,101.704,115.609,131.253,150.772,167.520,199.963,263.519,0.009
35,129.400,113.442,4.594,103.061,119.525,138.879,161.093,187.519,288.330,611.917,0.009
40,133.400,109.030,4.835,98.165,115.782,133.570,150.818,171.522,210.534,467.612,0.009
45,129.600,119.306,4.641,107.820,123.997,140.812,164.038,182.561,266.774,460.761,0.008
50,129.200,113.078,4.884,106.328,120.323,135.335,151.506,164.757,184.842,341.492,0.009
55,119.000,112.260,4.418,104.333,119.713,135.269,161.081,177.525,207.050,251.272,0.009
