Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,175.000,78.393,25.093,55.279,68.977,92.012,121.874,145.527,217.965,279.852,0.013
5,154.000,79.504,26.124,55.429,69.713,91.528,123.432,146.382,215.272,286.436,0.013
10,148.200,82.106,27.827,57.929,75.175,95.935,127.327,149.653,199.227,251.391,0.012
15,133.200,85.124,28.951,61.340,74.288,102.837,134.628,151.568,190.938,327.822,0.012
20,149.000,85.515,25.003,61.653,76.711,102.130,134.089,150.856,209.404,330.713,0.012
25,125.200,85.196,24.524,61.266,74.920,98.333,134.064,154.479,208.657,350.819,0.012
30,136.800,82.539,30.001,60.597,74.086,96.577,124.777,149.325,184.764,285.516,0.012
35,129.800,86.363,30.589,61.764,76.762,102.798,131.730,156.168,201.466,343.143,0.012
40,138.600,87.121,26.785,60.520,76.665,101.461,138.062,163.434,232.611,434.206,0.011
45,124.200,87.692,26.756,62.511,79.359,102.368,132.074,163.600,220.267,305.925,0.011
50,128.400,87.967,27.395,65.319,78.377,101.588,134.620,158.492,202.351,319.757,0.011
55,123.600,89.066,26.439,64.171,81.277,103.957,138.841,163.077,215.071,251.192,0.011
