Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,332.000,122.226,1.427,101.466,118.852,139.529,163.294,184.284,216.859,281.645,0.008
5,295.000,129.280,13.552,109.421,127.349,153.359,174.237,186.934,212.690,232.672,0.008
10,285.800,132.948,14.088,108.536,126.897,153.735,177.915,203.688,273.058,580.063,0.008
15,276.800,137.300,15.629,115.999,129.124,152.363,176.755,196.933,243.123,689.219,0.007
20,263.400,141.848,20.553,115.363,133.251,158.454,187.753,211.791,303.158,524.837,0.007
25,279.400,144.243,17.609,120.918,133.767,157.986,186.561,210.381,330.099,768.295,0.007
30,282.400,140.372,17.942,119.087,132.250,159.131,182.595,198.664,237.236,518.211,0.007
35,257.600,147.533,23.054,122.458,140.160,165.278,192.080,217.685,283.945,599.477,0.007
40,269.000,141.498,17.561,118.664,135.701,155.764,185.349,202.429,268.444,534.762,0.007
45,247.200,160.081,18.869,127.172,142.217,166.774,201.414,300.687,489.059,537.438,0.006
50,252.200,146.950,18.577,125.802,141.105,163.839,190.050,209.066,245.300,528.085,0.007
55,247.000,144.976,25.449,123.408,137.591,160.256,188.017,201.844,239.410,539.183,0.007
