Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,163.400,91.929,34.110,58.817,73.687,98.828,161.224,205.233,310.436,499.197,0.011
5,145.200,89.195,36.189,62.305,74.799,97.671,139.864,185.401,297.666,382.488,0.011
10,150.200,91.034,25.543,60.798,74.220,98.855,148.489,205.901,302.084,494.630,0.011
15,143.000,93.855,42.452,65.893,77.391,99.118,142.682,195.245,359.768,470.145,0.011
20,138.000,92.427,32.489,63.771,78.085,103.349,150.142,195.391,309.769,367.030,0.011
25,129.400,95.493,42.227,64.210,77.237,101.571,156.617,209.427,344.694,471.128,0.010
30,133.400,91.856,39.951,63.315,76.811,102.535,144.992,193.866,307.174,412.466,0.011
35,134.800,100.705,39.450,68.762,83.419,108.332,164.585,214.795,349.891,431.883,0.010
40,131.800,94.596,30.306,63.690,78.191,104.863,142.847,202.586,364.484,522.893,0.011
45,122.200,98.777,33.968,69.244,82.133,104.444,154.528,211.981,375.170,482.813,0.010
50,123.400,102.506,31.366,71.268,86.012,111.618,159.972,210.410,341.695,520.198,0.010
55,126.200,98.195,36.170,66.515,80.895,102.694,158.114,200.942,345.219,410.136,0.010
