Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,259.200,37.639,0.008,0.071,45.559,55.777,67.707,79.328,103.803,156.404,0.027
5,228.800,54.684,0.007,46.007,60.520,72.952,85.220,94.846,119.703,177.774,0.018
10,214.600,56.016,0.005,43.878,58.136,72.914,90.974,107.010,144.560,175.287,0.018
15,206.000,64.348,0.009,54.575,64.819,76.239,94.817,106.880,139.127,236.890,0.016
20,204.800,66.646,0.005,53.549,63.794,75.867,97.299,121.308,160.135,201.189,0.015
25,205.000,69.736,0.004,60.036,69.703,80.770,94.914,111.524,156.982,213.464,0.014
30,204.000,69.198,0.006,60.157,70.527,81.297,93.080,103.154,127.686,232.858,0.014
35,177.600,72.120,0.006,60.218,70.133,81.449,94.830,113.832,184.741,219.039,0.014
40,200.400,68.619,0.015,57.938,67.248,78.877,91.095,101.775,125.489,173.444,0.015
45,189.000,78.002,0.008,60.120,70.509,83.321,102.578,126.047,341.092,429.692,0.013
50,190.600,69.913,0.020,59.422,70.268,80.280,91.678,99.983,124.164,325.469,0.014
55,196.400,76.522,0.028,63.570,74.985,86.887,102.514,119.038,151.974,231.780,0.013
