Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1744,1744.000,6,14070,39297,60682,106110,140960,164860,207422,389455
1,1651,1651.000,8,14590,51583,58675,96327,125419,142569,185642,293518
2,1707,1707.000,5,14651,46009,58756,91398,129814,160034,219760,499197
3,1741,1741.000,8,14815,52018,59099,92529,123840,140298,177119,326367
4,1651,1651.000,4,15088,51887,60507,98276,128100,152849,210119,279852
5,1488,1488.000,7,15486,58178,65969,106407,140924,157239,199748,345447
6,1538,1538.000,7,15474,58389,65673,105743,140585,162653,196012,382488
7,1408,1408.000,12,15470,63538,70359,113619,144777,169589,201223,298825
8,1577,1577.000,7,15250,56589,63511,102936,135892,157686,197748,292360
9,1555,1555.000,7,15664,56118,64781,105214,141718,162988,216258,343899
10,1531,1531.000,9,15515,58300,65760,103835,140678,159451,192212,494630
11,1384,1384.000,5,16014,56456,72797,112540,165848,205403,270117,580063
12,1388,1388.000,10,17888,63132,70932,109381,141558,160315,211236,570923
13,1458,1458.000,13,17014,60896,67818,105513,136902,157837,195944,531326
14,1484,1484.000,7,16207,58592,67317,107179,141394,157504,199494,294431
15,1363,1363.000,24,18175,68912,74613,116058,148425,167176,216200,482839
16,1341,1341.000,9,18216,66221,73800,115698,147637,173355,218136,359768
17,1374,1374.000,23,19068,65479,73297,116707,146171,166001,209333,689219
18,1471,1471.000,10,17737,61287,68846,109472,136686,160245,219235,549866
19,1427,1427.000,23,17956,65623,70044,110597,136204,158345,220448,454594
20,1393,1393.000,5,18737,63777,71640,113041,143072,166190,217692,516880
21,1418,1418.000,21,17033,63387,70059,110677,137913,159018,234874,524837
22,1387,1387.000,5,18219,62400,71444,112768,147561,169078,204013,472209
23,1358,1358.000,14,18942,62274,73282,111010,150459,173227,268730,349996
24,1240,1240.000,21,21838,67307,79930,123451,161462,195163,246001,355620
25,1259,1259.000,20,20004,68712,80321,121636,162003,197113,306308,433673
26,1345,1345.000,13,19174,67908,74967,117867,153169,173458,216208,563533
27,1343,1343.000,4,19749,64336,73990,117788,147590,170983,211353,768295
28,1336,1336.000,13,19656,69767,75156,117881,144783,166327,213377,346357
29,1360,1360.000,7,20086,67859,73849,116591,142114,166191,219347,414230
30,1440,1440.000,7,18605,64566,69818,114018,137664,158135,209412,518211
31,1332,1332.000,14,18807,66423,73683,113554,146994,169521,219299,447156
32,1395,1395.000,6,18066,67901,72759,115145,141259,165394,208217,320017
33,1349,1349.000,20,18822,69250,73131,112466,143629,168614,211026,513924
34,1262,1262.000,5940,20835,71705,78916,121831,162719,180820,230463,365913
35,1236,1236.000,5750,20776,70136,80547,124307,156879,183737,274018,366233
36,1293,1293.000,5738,21044,70910,79603,125685,160206,185382,219305,595451
37,1217,1217.000,16,19093,66656,80103,121019,171377,206808,283945,611917
38,1336,1336.000,6,20455,69223,74960,117701,147575,167662,224806,404834
39,1411,1411.000,18,19419,66639,71303,111521,142984,162367,203920,431883
40,1255,1255.000,15,21210,67799,79021,120040,160242,193597,249024,477256
41,1467,1467.000,4835,18363,61021,68201,106060,136272,153304,223669,467612
42,1382,1382.000,5043,18713,65500,72686,109479,147273,160118,232211,534762
43,1375,1375.000,5452,18023,64980,72889,119434,144263,166973,218518,522893
44,1257,1257.000,17,21861,71180,79636,122641,150691,176154,248002,461059
45,1277,1277.000,5408,20238,70046,77156,123853,153258,168943,210774,482813
46,1341,1341.000,16,20155,69482,77197,124923,151876,169423,216392,491590
47,1226,1226.000,8,20083,71105,79260,121627,160520,182467,249145,403450
48,1283,1283.000,13,20545,69210,77439,121993,154295,175462,244643,460761
49,1171,1171.000,5037,18844,69983,94796,123895,192166,341092,489059,537438
50,1211,1211.000,4884,17406,66699,76970,123066,159766,185153,238869,421510
51,1292,1292.000,5437,20688,72843,74601,114418,141699,159972,214079,325469
52,1259,1259.000,6600,22071,70661,79008,123778,154494,174119,225267,528085
53,1257,1257.000,6898,22263,73744,80998,127552,158588,182828,234089,520198
54,1317,1317.000,20,20043,70170,74578,119525,146659,167033,197927,445933
55,1160,1160.000,28,23196,77674,86288,132085,171304,195241,234633,539183
56,1272,1272.000,4843,21904,72845,79524,122011,155523,179548,234010,509078
57,1359,1359.000,4418,20714,67629,72018,112441,140130,161542,207050,343402
58,1308,1308.000,5165,21017,71392,77182,119897,146993,167933,220929,421559
59,1191,1191.000,4828,21846,67000,72356,115229,140565,156088,195311,355619
