Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,477.000,10.569,6.857,9.191,9.761,10.532,11.838,13.926,29.620,88.416,0.095
5,418.400,10.627,7.272,9.373,10.028,10.800,11.747,13.014,25.688,74.841,0.094
10,383.400,11.876,7.759,9.956,10.626,11.414,12.758,15.734,39.062,141.151,0.084
15,423.200,11.027,7.471,9.719,10.448,11.408,12.688,14.181,24.687,89.359,0.091
20,357.400,12.555,7.888,10.830,11.662,12.633,13.975,16.677,28.414,123.793,0.080
25,387.400,12.086,7.480,9.763,10.504,11.666,13.718,17.496,38.655,128.788,0.083
30,355.200,12.507,8.445,11.006,11.814,12.938,14.549,16.195,26.567,127.393,0.080
35,348.800,12.241,7.790,10.379,11.152,12.258,14.115,16.738,35.449,83.989,0.082
40,367.800,12.581,8.125,10.879,12.182,13.499,15.198,16.690,24.053,84.799,0.079
45,358.200,13.799,8.952,11.756,12.688,13.911,16.366,20.578,31.758,110.838,0.072
50,392.000,12.004,7.611,10.223,11.258,12.529,14.266,16.266,25.248,101.372,0.083
55,349.400,12.961,8.844,11.128,12.033,13.455,15.607,17.884,26.657,90.824,0.077
