Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1357.600,37.194,0.005,9.814,31.729,59.536,76.182,87.661,130.213,386.113,0.027
5,1149.800,43.287,0.005,10.270,38.168,66.851,86.342,105.080,144.401,560.040,0.023
10,1075.800,46.342,0.008,11.019,41.128,69.900,90.975,110.980,177.585,330.598,0.022
15,1192.800,41.972,0.007,10.891,37.931,64.609,83.166,96.379,127.483,259.953,0.024
20,1032.000,48.549,0.021,12.250,43.851,74.609,93.461,110.443,145.610,369.241,0.021
25,1135.400,43.989,0.008,11.211,37.937,65.287,83.974,99.741,158.194,277.271,0.023
30,1009.600,49.463,0.013,12.423,45.830,76.945,96.167,110.027,141.466,271.453,0.020
35,1007.800,49.479,4.315,11.842,44.267,75.591,96.660,113.654,154.001,365.585,0.020
40,1063.400,47.043,4.272,12.937,43.360,72.069,91.062,105.437,140.453,250.837,0.021
45,1017.000,49.266,0.022,13.373,45.659,75.489,92.978,109.152,144.214,305.836,0.020
50,1096.000,45.507,0.013,11.946,40.561,68.919,88.504,104.301,147.706,264.478,0.022
55,988.800,49.669,4.538,12.866,45.316,76.123,95.735,111.131,148.231,277.351,0.020
