Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,93.400,151.606,7.667,40.475,73.461,124.375,337.727,583.859,1657.519,1951.799,0.007
5,125.600,101.799,6.296,27.796,46.812,82.393,237.615,425.127,983.979,1437.202,0.010
10,220.800,72.166,6.406,14.308,23.087,37.207,153.033,550.299,720.752,904.720,0.014
15,242.400,64.300,6.694,12.857,21.376,31.631,59.292,593.138,860.821,968.132,0.016
20,212.800,62.296,6.836,13.195,24.581,50.015,126.349,235.972,854.652,987.477,0.016
25,144.200,87.823,6.485,24.553,53.328,117.719,169.357,225.567,549.285,1061.307,0.011
30,149.000,118.609,6.880,24.186,42.466,109.081,219.613,613.110,1366.315,1672.049,0.008
35,149.800,162.418,5.946,15.720,25.933,42.184,1054.925,1164.657,1370.888,1436.821,0.006
40,97.600,235.073,6.603,17.952,29.565,48.409,1348.326,1645.844,2367.579,3142.527,0.004
45,67.600,320.952,8.091,31.307,39.394,59.473,2100.301,2345.001,2918.378,3671.607,0.003
50,71.800,249.596,11.983,33.341,41.053,70.907,1757.610,2027.981,2181.628,2220.076,0.004
55,70.200,207.064,9.281,31.930,42.176,69.153,148.309,2180.198,2293.558,2355.836,0.005
