Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,85.600,160.053,3.367,38.565,93.933,171.047,327.256,524.154,1708.875,1928.800,0.006
5,129.200,107.764,3.441,25.163,48.057,106.010,235.549,469.261,976.181,1279.016,0.009
10,221.600,76.474,3.636,11.591,20.360,37.651,163.188,561.060,751.299,885.141,0.013
15,243.200,67.496,3.539,11.307,17.633,28.614,62.242,666.725,869.249,952.470,0.015
20,220.800,56.978,3.312,10.373,19.024,38.899,106.419,257.040,847.181,1015.328,0.018
25,135.400,64.032,3.547,5.272,30.944,96.232,136.375,195.564,478.300,1118.068,0.016
30,144.200,85.297,3.243,5.063,30.978,77.731,157.889,354.259,968.831,1553.180,0.012
35,156.200,148.981,3.349,4.180,7.593,29.047,1053.081,1193.496,1356.380,1442.496,0.007
40,100.400,182.061,3.432,4.116,5.146,29.085,103.088,1478.140,2311.902,3202.013,0.005
45,69.000,279.741,3.512,4.278,5.367,38.226,1952.975,2289.427,3080.518,3241.131,0.004
50,74.400,273.477,3.441,4.630,10.753,49.605,1798.312,2075.973,2193.615,2258.773,0.004
55,72.000,146.858,3.442,4.620,6.504,40.130,73.327,2150.172,2307.505,2380.637,0.007
