Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1260,1260.000,2589,4093,35583,100487,134218,272413,384965,777343,2007733
1,960,960.000,2566,3545,24283,101528,127465,290212,365634,733095,3368560
2,888,888.000,2265,3377,23749,135923,138286,344676,482390,1799665,4843286
3,697,697.000,2330,3107,24640,134425,161506,421586,573254,1555796,3840868
4,738,738.000,2376,3119,25015,141605,161872,436299,559280,1474796,2762865
5,864,864.000,2359,3186,16910,114134,119532,315068,429646,1416311,2497443
6,940,940.000,2486,3418,14553,84872,99014,221297,333743,966617,2902364
7,1596,1596.000,2479,3322,12431,61221,64933,177949,263504,575102,1782449
8,1332,1332.000,2400,3361,19719,76523,82367,194511,274117,913448,2620922
9,1601,1601.000,2409,3261,11752,65655,60419,151190,213296,965417,2924510
10,1505,1505.000,2502,3302,13549,63787,54925,137549,223856,769806,2293290
11,2360,2360.000,2359,3306,9458,43072,29966,66597,97818,730887,2843234
12,2505,2505.000,2471,3350,9974,41880,30680,70067,118605,592875,1756280
13,2343,2343.000,2302,3314,10083,44457,28733,60177,90417,828098,1874547
14,2269,2269.000,2439,3456,9366,41847,32375,73797,114463,710518,1848770
15,2660,2660.000,2391,3451,9659,39893,26936,63692,90446,781381,3360037
16,2443,2443.000,2414,3410,9955,44483,28436,62732,87335,869389,3208078
17,2362,2362.000,2371,3469,10546,38771,27609,61617,92925,849168,3236328
18,2294,2294.000,2312,3384,10041,40610,30506,69201,104034,767705,1856177
19,2481,2481.000,2473,3381,9938,45570,29646,63657,96442,883962,3086093
20,2488,2488.000,2071,3336,9217,37855,26833,60387,83111,936883,1899256
21,2114,2114.000,2441,3334,9852,41065,32057,69399,100055,866052,1580081
22,3177,3177.000,2427,3475,8689,28032,24561,56937,83797,430174,1742568
23,1615,1615.000,2418,3439,11434,62141,55959,215335,307134,584625,1188183
24,1465,1465.000,1789,3267,14449,66846,86394,227353,308672,431820,875674
25,1378,1378.000,2398,3216,11041,76162,88417,299960,358498,537408,1171277
26,1456,1456.000,2483,3357,15247,73363,84693,253906,338493,539065,1288196
27,1344,1344.000,2449,3296,11890,70079,77802,259490,346351,450329,1573909
28,1363,1363.000,2459,3290,12883,74256,68757,261862,403505,549285,2260463
29,1407,1407.000,2436,3244,14125,75130,74386,218300,348763,521344,2920931
30,1183,1183.000,2403,3343,16775,82401,82960,276705,398055,584210,1641355
31,1334,1334.000,2417,3402,14682,78302,75469,212206,346778,748259,3578565
32,1162,1162.000,2519,3495,11545,88332,78571,288837,429283,821099,1852974
33,1606,1606.000,2365,3371,12267,55403,57953,168657,241015,467334,1108075
34,1919,1919.000,2335,3338,9989,72017,39965,111732,194071,1736087,4109478
35,1555,1555.000,2430,3329,8304,68745,33614,66244,112221,1331253,5009826
36,1439,1439.000,2171,3214,6165,81195,30763,73907,124327,2429617,4961031
37,1581,1581.000,2354,3237,7298,60421,27909,57500,86033,1163343,4921137
38,1429,1429.000,2109,3159,5667,82009,25021,51179,77726,2340952,10633436
39,1521,1521.000,2459,3281,5751,85879,24340,46493,80685,2546109,10364738
40,1039,1039.000,2441,3150,5917,99681,19154,35295,58271,2679184,7410743
41,1203,1203.000,2454,3182,5064,89717,21744,44937,65387,3271572,8012194
42,1239,1239.000,2401,3211,6110,106569,27121,57169,97398,3626607,8439709
43,910,910.000,2533,3119,4529,120819,34177,75279,106344,4230247,9981344
44,662,662.000,2488,3213,7139,147655,51353,112775,166391,3430149,9404710
45,777,777.000,2567,3261,5936,159095,39144,71390,117024,4498182,13592932
46,596,596.000,2579,3480,6777,163458,37660,75557,160257,4597192,12735642
47,604,604.000,2314,3697,6448,195432,39080,78485,157815,4581117,12753276
48,681,681.000,2535,3548,5970,118335,37250,75700,129809,4218066,8247799
49,812,812.000,2499,3607,6343,109070,40502,94331,162519,2199906,4220919
50,696,696.000,2614,3702,6748,125001,42008,117935,168313,3938352,8438312
51,896,896.000,2523,3724,6501,108744,41068,90521,130981,3673505,3920199
52,555,555.000,2582,3787,7803,109899,47540,110939,214765,2027981,4157388
53,617,617.000,2619,3767,13834,134512,52100,126043,205188,2183331,4122289
54,933,933.000,2579,3653,7693,109447,39919,82452,128732,2208716,4627229
55,775,775.000,2542,3538,6501,93265,40612,101532,141205,2270086,4563918
56,769,769.000,2509,3554,5254,77709,39821,101292,153509,2281056,2380637
57,669,669.000,2520,3820,8714,74125,46444,102550,136261,2273733,2307505
58,647,647.000,2549,3576,5911,32871,48951,98499,137879,201963,240734
59,728,728.000,2583,3808,7125,30138,41818,84598,121191,173936,368393
