Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,UpdateCustomer,1744840641.171178,33953,4,1
3,FindOpenSeats,1744840641.171299,16893,0,1
4,NewReservation,1744840641.171422,50058,5,1
1,DeleteReservation,1744840641.171537,46,2,1
6,UpdateReservation,1744840641.171572,109,3,1
1,DeleteReservation,1744840641.171690,19,6,1
2,FindFlights,1744840641.171749,43438,2,1
5,UpdateCustomer,1744840641.171755,33801,6,1
3,FindOpenSeats,1744840641.171762,16156,3,1
5,UpdateCustomer,1744840641.171839,33547,7,1
6,UpdateReservation,1744840641.171941,43,19,1
4,NewReservation,1744840641.172002,49637,19,1
6,UpdateReservation,1744840641.172076,124,13,1
5,UpdateCustomer,1744840641.172106,60490,1,1
2,FindFlights,1744840641.172226,32160,13,1
4,NewReservation,1744840641.172227,52239,18,1
4,NewReservation,1744840641.172338,1467,8,1
4,NewReservation,1744840641.172437,1149,17,1
4,NewReservation,1744840641.172560,52211,9,1
3,FindOpenSeats,1744840641.172582,15331,16,1
4,NewReservation,1744840641.172651,49030,15,1
2,FindFlights,1744840641.172669,39333,14,1
2,FindFlights,1744840641.172707,61681,10,1
3,FindOpenSeats,1744840641.172837,15289,11,1
6,UpdateReservation,1744840641.172926,78,12,1
3,FindOpenSeats,1744840641.173026,14997,12,1
4,NewReservation,1744840641.173616,678,17,1
1,DeleteReservation,1744840641.173825,13,8,1
3,FindOpenSeats,1744840641.173848,14124,8,1
3,FindOpenSeats,1744840641.174323,13832,17,1
3,FindOpenSeats,1744840641.187951,7472,16,1
5,UpdateCustomer,1744840641.187958,27268,3,1
6,UpdateReservation,1744840641.187991,46,8,1
3,FindOpenSeats,1744840641.188057,7047,12,1
5,UpdateCustomer,1744840641.188059,83618,8,1
3,FindOpenSeats,1744840641.188152,7183,11,1
5,UpdateCustomer,1744840641.188174,27030,17,1
6,UpdateReservation,1744840641.188211,36,0,1
3,FindOpenSeats,1744840641.188260,7130,0,1
2,FindFlights,1744840641.195130,14589,12,1
4,NewReservation,1744840641.195362,72831,11,1
3,FindOpenSeats,1744840641.195411,6918,0,1
6,UpdateReservation,1744840641.195443,32,16,1
4,NewReservation,1744840641.195492,56041,16,1
2,FindFlights,1744840641.202362,39445,0,1
4,NewReservation,1744840641.204415,760,13,1
4,NewReservation,1744840641.205171,64663,4,1
1,DeleteReservation,1744840641.205195,14,13,1
6,UpdateReservation,1744840641.205221,25,13,1
1,DeleteReservation,1744840641.205259,8,13,1
2,FindFlights,1744840641.205276,44687,13,1
5,UpdateCustomer,1744840641.205405,26803,7,1
6,UpdateReservation,1744840641.205576,29,6,1
1,DeleteReservation,1744840641.205617,8,6,1
3,FindOpenSeats,1744840641.205635,7180,6,1
1,DeleteReservation,1744840641.209743,16,12,1
4,NewReservation,1744840641.209768,60065,12,1
3,FindOpenSeats,1744840641.212036,6881,14,1
3,FindOpenSeats,1744840641.212835,6784,6,1
5,UpdateCustomer,1744840641.215209,21872,2,1
6,UpdateReservation,1744840641.215224,41,17,1
4,NewReservation,1744840641.215249,54397,3,1
3,FindOpenSeats,1744840641.215559,6634,17,1
4,NewReservation,1744840641.218949,52174,14,1
4,NewReservation,1744840641.219650,51456,6,1
2,FindFlights,1744840641.221500,41645,5,1
4,NewReservation,1744840641.221679,50126,19,1
4,NewReservation,1744840641.221701,49867,15,1
3,FindOpenSeats,1744840641.222215,7654,17,1
2,FindFlights,1744840641.224489,48438,18,1
1,DeleteReservation,1744840641.224802,20,9,1
3,FindOpenSeats,1744840641.224839,6787,9,1
2,FindFlights,1744840641.229899,34359,17,1
3,FindOpenSeats,1744840641.231649,7113,9,1
5,UpdateCustomer,1744840641.232239,38018,7,1
2,FindFlights,1744840641.232617,42744,1,1
4,NewReservation,1744840641.234408,942,10,1
4,NewReservation,1744840641.235368,535,10,1
4,NewReservation,1744840641.235922,346,10,1
4,NewReservation,1744840641.236284,374,10,1
1,DeleteReservation,1744840641.236674,12,10,1
5,UpdateCustomer,1744840641.236695,36125,10,1
2,FindFlights,1744840641.237120,20731,2,1
3,FindOpenSeats,1744840641.238789,7595,9,1
3,FindOpenSeats,1744840641.241840,7028,0,1
6,UpdateReservation,1744840641.246418,24666,9,1
1,DeleteReservation,1744840641.248893,59,0,1
5,UpdateCustomer,1744840641.248967,22645,0,1
4,NewReservation,1744840641.250007,825,13,1
3,FindOpenSeats,1744840641.250851,6939,13,1
1,DeleteReservation,1744840641.251559,139162,16,1
3,FindOpenSeats,1744840641.257818,6210,13,1
5,UpdateCustomer,1744840641.257874,35980,2,1
3,FindOpenSeats,1744840641.263172,6650,5,1
4,NewReservation,1744840641.264052,37883,13,1
1,DeleteReservation,1744840641.264290,21,17,1
4,NewReservation,1744840641.264321,37619,17,1
3,FindOpenSeats,1744840641.268220,7036,11,1
3,FindOpenSeats,1744840641.269666,7123,3,1
6,UpdateReservation,1744840641.269847,41,5,1
3,FindOpenSeats,1744840641.269855,7550,4,1
4,NewReservation,1744840641.269857,120120,12,1
3,FindOpenSeats,1744840641.269902,6973,5,1
4,NewReservation,1744840641.270278,787,7,1
4,NewReservation,1744840641.271081,364,7,1
4,NewReservation,1744840641.271105,33712,9,1
3,FindOpenSeats,1744840641.271133,7323,6,1
3,FindOpenSeats,1744840641.271144,6494,14,1
5,UpdateCustomer,1744840641.271461,22974,7,1
4,NewReservation,1744840641.271595,119422,15,1
3,FindOpenSeats,1744840641.271632,6499,0,1
1,DeleteReservation,1744840641.271697,17,8,1
3,FindOpenSeats,1744840641.271724,6249,8,1
3,FindOpenSeats,1744840641.271824,6465,19,1
1,DeleteReservation,1744840641.272839,14,10,1
4,NewReservation,1744840641.272862,395,10,1
6,UpdateReservation,1744840641.272952,50,18,1
6,UpdateReservation,1744840641.273018,26,18,1
2,FindFlights,1744840641.273062,20744,18,1
1,DeleteReservation,1744840641.273273,10,10,1
6,UpdateReservation,1744840641.273292,22,10,1
5,UpdateCustomer,1744840641.273330,21104,10,1
6,UpdateReservation,1744840641.275286,39,11,1
3,FindOpenSeats,1744840641.275348,6113,11,1
5,UpdateCustomer,1744840641.275380,19804,1,1
4,NewReservation,1744840641.276816,113177,3,1
3,FindOpenSeats,1744840641.276929,6335,5,1
2,FindFlights,1744840641.277430,34917,4,1
1,DeleteReservation,1744840641.277659,113248,14,1
6,UpdateReservation,1744840641.277993,50,8,1
1,DeleteReservation,1744840641.278058,7,8,1
2,FindFlights,1744840641.278073,19546,8,1
5,UpdateCustomer,1744840641.278150,22967,0,1
2,FindFlights,1744840641.278308,19633,19,1
4,NewReservation,1744840641.278482,111400,6,1
5,UpdateCustomer,1744840641.281482,19745,11,1
3,FindOpenSeats,1744840641.283285,6470,5,1
4,NewReservation,1744840641.289780,100008,5,1
4,NewReservation,1744840641.293841,95975,18,1
6,UpdateReservation,1744840641.293875,38,2,1
3,FindOpenSeats,1744840641.293926,7081,2,1
6,UpdateReservation,1744840641.294478,79,10,1
6,UpdateReservation,1744840641.294478,79,7,1
3,FindOpenSeats,1744840641.294579,6675,10,1
5,UpdateCustomer,1744840641.294579,95493,7,1
4,NewReservation,1744840641.295206,94623,1,1
2,FindFlights,1744840641.297643,40095,8,1
5,UpdateCustomer,1744840641.297985,91937,19,1
3,FindOpenSeats,1744840641.301090,6963,2,1
3,FindOpenSeats,1744840641.301149,89956,0,1
3,FindOpenSeats,1744840641.301265,7115,11,1
4,NewReservation,1744840641.301281,1012,10,1
5,UpdateCustomer,1744840641.301964,87758,13,1
5,UpdateCustomer,1744840641.301969,88993,17,1
2,FindFlights,1744840641.302317,10736,10,1
3,FindOpenSeats,1744840641.304842,6446,9,1
4,NewReservation,1744840641.308077,83114,2,1
3,FindOpenSeats,1744840641.308400,44826,11,1
2,FindFlights,1744840641.311325,9442,9,1
6,UpdateReservation,1744840641.312369,77294,4,1
4,NewReservation,1744840641.313076,564,10,1
3,FindOpenSeats,1744840641.313656,5303,10,1
4,NewReservation,1744840641.318985,637,10,1
1,DeleteReservation,1744840641.319639,10,10,1
3,FindOpenSeats,1744840641.319658,5601,10,1
4,NewReservation,1744840641.320799,134093,9,1
3,FindOpenSeats,1744840641.325279,6308,10,1
6,UpdateReservation,1744840641.331611,26,10,1
3,FindOpenSeats,1744840641.331648,6047,10,1
2,FindFlights,1744840641.337716,30342,10,1
6,UpdateReservation,1744840641.337781,36,8,1
1,DeleteReservation,1744840641.337830,8,8,1
4,NewReservation,1744840641.337847,53541,8,1
4,NewReservation,1744840641.353249,38824,11,1
3,FindOpenSeats,1744840641.368080,5939,10,1
5,UpdateCustomer,1744840641.374040,34642,10,1
5,UpdateCustomer,1744840641.389694,43506,4,1
3,FindOpenSeats,1744840641.389779,6224,13,1
3,FindOpenSeats,1744840641.389810,6135,5,1
5,UpdateCustomer,1744840641.389848,44540,18,1
6,UpdateReservation,1744840641.389874,65,1,1
4,NewReservation,1744840641.389901,78335,6,1
6,UpdateReservation,1744840641.389943,19469,19,1
4,NewReservation,1744840641.389962,76879,1,1
4,NewReservation,1744840641.389997,76781,12,1
5,UpdateCustomer,1744840641.390015,44093,3,1
3,FindOpenSeats,1744840641.390097,6292,7,1
4,NewReservation,1744840641.390740,76427,16,1
3,FindOpenSeats,1744840641.390935,5581,14,1
4,NewReservation,1744840641.390982,53975,17,1
3,FindOpenSeats,1744840641.391043,7080,15,1
3,FindOpenSeats,1744840641.391137,6446,0,1
3,FindOpenSeats,1744840641.391211,6411,2,1
2,FindFlights,1744840641.391409,28881,8,1
4,NewReservation,1744840641.392094,74748,11,1
6,UpdateReservation,1744840641.395973,49384,5,1
3,FindOpenSeats,1744840641.396037,5890,13,1
3,FindOpenSeats,1744840641.396409,5335,7,1
6,UpdateReservation,1744840641.396535,25,14,1
6,UpdateReservation,1744840641.396572,13,14,1
3,FindOpenSeats,1744840641.396595,6293,14,1
3,FindOpenSeats,1744840641.397605,6562,0,1
