Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,108.600,25.894,0.004,24.521,27.799,32.471,40.816,50.253,75.220,139.162,0.039
5,105.200,25.917,2.635,25.187,27.056,29.590,35.351,38.861,63.852,98.355,0.039
10,82.000,31.979,2.531,25.785,31.651,41.260,50.454,55.137,73.214,88.121,0.031
15,106.600,26.340,2.420,25.151,26.862,30.393,36.892,43.368,54.015,134.527,0.038
20,104.800,28.541,2.502,25.482,27.255,32.167,43.088,50.693,69.336,119.159,0.035
25,87.000,31.671,2.534,26.149,30.351,39.418,49.247,54.238,68.508,71.981,0.032
30,109.400,24.934,2.488,25.414,26.770,28.876,34.254,40.195,53.258,63.935,0.040
35,80.800,36.302,2.822,29.466,34.159,45.433,57.395,67.301,84.314,132.835,0.028
40,115.200,24.735,2.531,25.270,26.637,28.298,32.123,34.244,51.627,64.622,0.040
45,98.200,30.282,2.675,25.831,28.131,35.196,50.640,55.301,79.387,100.119,0.033
50,106.000,28.103,2.620,25.999,28.206,33.341,41.149,49.986,70.621,85.956,0.036
55,101.600,29.257,2.725,25.887,27.790,33.436,46.331,52.220,62.035,119.405,0.034
