Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,379.400,5.393,4.049,4.835,5.086,5.390,5.878,6.446,14.124,89.956,0.185
5,392.600,5.248,3.895,4.735,4.951,5.197,5.440,5.680,12.312,72.761,0.191
10,303.800,5.547,4.070,4.943,5.242,5.610,5.974,6.245,14.335,51.578,0.180
15,394.400,5.254,3.873,4.861,5.118,5.377,5.642,5.863,12.515,20.131,0.190
20,340.400,5.329,4.113,4.867,5.101,5.372,5.669,6.032,10.582,61.891,0.188
25,315.800,5.783,4.145,5.086,5.472,6.038,6.518,6.835,12.809,89.562,0.173
30,405.200,5.276,4.073,4.912,5.152,5.397,5.647,5.876,10.443,48.599,0.190
35,290.400,5.823,4.118,5.234,5.573,5.969,6.362,6.766,10.440,57.316,0.172
40,415.200,5.407,4.088,4.975,5.217,5.461,5.711,5.892,10.681,47.541,0.185
45,344.200,5.507,3.876,5.023,5.326,5.667,6.053,6.295,11.986,45.364,0.182
50,358.800,5.634,4.160,5.105,5.388,5.725,6.119,6.425,14.079,34.222,0.177
55,356.000,5.463,4.192,5.059,5.327,5.634,5.973,6.223,8.987,22.816,0.183
