Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,102.600,26.480,14.775,17.308,20.291,28.784,44.093,60.490,91.937,112.614,0.038
5,109.600,23.552,15.001,16.927,18.747,24.445,36.429,47.011,90.105,123.893,0.042
10,90.600,30.477,15.131,19.606,26.163,36.079,47.428,63.142,81.172,115.203,0.033
15,104.800,24.583,14.369,16.661,19.444,27.204,40.947,49.942,72.331,93.686,0.041
20,98.400,24.819,14.528,16.903,19.592,26.875,39.179,57.129,79.851,96.394,0.040
25,96.000,29.515,14.800,18.808,24.657,34.590,47.525,62.026,88.129,139.619,0.034
30,118.200,23.276,14.642,16.691,18.638,24.345,35.395,46.522,82.907,105.587,0.043
35,78.400,32.153,15.314,21.571,28.269,37.976,49.999,63.675,93.846,105.577,0.031
40,113.600,23.159,14.821,16.538,18.665,24.677,36.519,46.913,73.265,125.501,0.043
45,95.600,27.564,14.508,17.681,22.146,32.614,44.355,53.401,97.707,119.162,0.036
50,103.200,26.274,14.701,17.421,20.475,28.202,43.381,58.119,80.728,109.936,0.038
55,87.200,26.441,15.078,16.996,19.688,29.469,44.786,61.170,99.400,119.037,0.038
