Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1064.000,18.851,0.004,5.121,14.289,29.731,40.179,47.583,69.691,139.162,0.053
5,1101.400,18.119,1.945,5.073,14.179,28.791,34.252,41.395,66.195,123.893,0.055
10,890.600,22.461,0.016,5.485,18.875,32.898,45.903,57.036,80.053,159.399,0.045
15,1093.200,18.282,1.966,5.254,14.094,28.829,36.468,42.918,58.250,134.527,0.055
20,994.400,20.108,2.146,5.287,16.582,29.502,39.054,48.680,76.891,165.478,0.050
25,917.200,21.756,2.054,5.878,18.350,32.229,44.430,53.440,73.906,139.619,0.046
30,1136.000,17.619,1.964,5.289,13.174,28.599,33.389,40.325,56.119,105.587,0.057
35,816.400,24.467,2.079,5.808,20.882,35.754,51.126,63.044,86.784,159.615,0.041
40,1141.200,17.520,2.134,5.343,13.462,28.505,32.076,39.485,54.358,125.501,0.057
45,954.800,20.988,1.923,5.504,16.924,30.356,43.066,52.872,82.208,175.205,0.048
50,1022.800,19.498,2.224,5.590,16.337,30.033,38.283,44.910,64.793,109.936,0.051
55,980.400,20.233,2.138,5.486,16.438,30.000,41.195,50.089,75.129,312.676,0.049
