Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,158.800,10.583,1.191,1.631,1.779,2.021,31.526,64.941,177.036,302.118,0.094
5,158.400,8.337,1.136,1.480,1.600,1.781,20.943,58.155,125.727,330.730,0.120
10,201.400,6.312,1.197,1.489,1.607,1.760,2.203,33.538,106.546,178.545,0.158
15,184.400,7.679,1.175,1.502,1.620,1.767,5.081,48.135,125.455,291.827,0.130
20,189.800,9.147,1.143,1.467,1.591,1.723,19.869,64.489,156.835,325.680,0.109
25,195.800,8.491,0.997,1.452,1.564,1.727,26.262,58.626,127.345,232.443,0.118
30,215.600,6.356,1.081,1.498,1.623,1.768,2.391,35.134,94.827,184.865,0.157
35,210.400,6.544,1.150,1.479,1.594,1.741,1.997,33.552,124.605,245.380,0.153
40,196.800,6.771,1.163,1.519,1.645,1.766,2.050,39.452,128.755,241.070,0.148
45,252.400,6.877,1.139,1.510,1.621,1.777,12.539,40.487,99.002,218.437,0.145
50,221.400,7.812,1.161,1.524,1.656,1.813,25.217,52.336,104.640,266.963,0.128
55,235.600,6.987,1.213,1.545,1.656,1.818,10.466,42.060,104.320,176.011,0.143
