Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,45.400,197.709,1.591,87.210,225.774,291.871,353.623,386.881,427.641,471.596,0.005
5,51.600,181.149,1.451,65.385,174.947,276.022,365.670,430.465,503.989,522.793,0.006
10,60.800,162.202,1.682,73.350,167.233,237.145,291.115,324.540,364.679,379.099,0.006
15,53.200,175.630,1.600,94.445,181.235,245.242,303.720,369.926,475.748,551.129,0.006
20,64.400,148.325,1.758,56.720,154.242,222.371,284.340,331.124,381.629,408.109,0.007
25,55.600,151.095,1.409,54.042,146.275,230.550,296.967,352.421,417.482,454.998,0.007
30,65.000,147.389,1.431,62.467,145.294,222.316,287.763,315.005,406.077,457.057,0.007
35,59.200,149.062,1.782,59.563,135.314,230.119,308.130,349.880,440.505,448.332,0.007
40,57.200,162.612,1.694,65.268,168.578,245.125,316.738,366.378,437.143,514.861,0.006
45,66.000,119.625,1.706,31.476,101.719,193.717,262.315,303.372,344.454,405.197,0.008
50,61.600,139.838,1.441,63.227,135.448,206.706,274.019,320.789,375.538,390.170,0.007
55,70.400,119.947,1.684,34.217,122.376,194.008,240.767,271.076,327.657,336.079,0.008
