Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1750885511.762268,86290,5,1
6,ReadModifyWriteRecord,1750885511.762269,81631,10,1
6,ReadModifyWriteRecord,1750885511.762270,82416,24,1
5,DeleteRecord,1750885511.762270,65284,18,1
3,ScanRecord,1750885511.762330,194925,23,1
1,ReadRecord,1750885511.762337,17594,20,1
4,UpdateRecord,1750885511.762375,81813,25,1
1,ReadRecord,1750885511.762425,17579,7,1
3,ScanRecord,1750885511.762532,163846,2,1
1,ReadRecord,1750885511.762555,17719,26,1
1,ReadRecord,1750885511.762651,17295,28,1
3,ScanRecord,1750885511.762669,148956,22,1
1,ReadRecord,1750885511.762834,17408,14,1
3,ScanRecord,1750885511.762855,232836,29,1
6,ReadModifyWriteRecord,1750885511.762895,80919,13,1
1,ReadRecord,1750885511.762923,17195,30,1
1,ReadRecord,1750885511.762924,17422,0,1
5,DeleteRecord,1750885511.762958,64124,12,1
5,DeleteRecord,1750885511.763099,65033,6,1
3,ScanRecord,1750885511.763121,172527,31,1
1,ReadRecord,1750885511.763164,16769,1,1
1,ReadRecord,1750885511.763191,17128,32,1
1,ReadRecord,1750885511.763210,16975,4,1
1,ReadRecord,1750885511.763325,16605,19,1
4,UpdateRecord,1750885511.763362,81150,27,1
3,ScanRecord,1750885511.763404,115906,16,1
1,ReadRecord,1750885511.763423,16670,21,1
3,ScanRecord,1750885511.763566,80170,3,1
1,ReadRecord,1750885511.763593,65932,34,1
1,ReadRecord,1750885511.763684,16246,33,1
3,ScanRecord,1750885511.763720,115143,11,1
1,ReadRecord,1750885511.763750,16204,37,1
1,ReadRecord,1750885511.763877,16057,8,1
1,ReadRecord,1750885511.763907,16036,38,1
1,ReadRecord,1750885511.763952,16144,17,1
6,ReadModifyWriteRecord,1750885511.763976,120563,9,1
1,ReadRecord,1750885511.764008,15931,15,1
3,ScanRecord,1750885511.764031,111737,39,1
4,UpdateRecord,1750885511.764114,80147,40,1
4,UpdateRecord,1750885511.764268,187509,41,1
1,ReadRecord,1750885511.764322,15611,35,1
4,UpdateRecord,1750885511.764481,80054,42,1
3,ScanRecord,1750885511.764572,290448,43,1
3,ScanRecord,1750885511.764711,164873,44,1
3,ScanRecord,1750885511.764822,163569,36,1
1,ReadRecord,1750885511.764978,15112,45,1
4,UpdateRecord,1750885511.765138,79507,46,1
6,ReadModifyWriteRecord,1750885511.765392,119173,47,1
1,ReadRecord,1750885511.765396,14833,48,1
1,ReadRecord,1750885511.765472,14798,49,1
6,ReadModifyWriteRecord,1750885511.780218,172483,21,1
1,ReadRecord,1750885511.780279,105929,48,1
1,ReadRecord,1750885511.780290,49626,30,1
1,ReadRecord,1750885511.780307,49662,19,1
1,ReadRecord,1750885511.780311,49296,49,1
1,ReadRecord,1750885511.780331,49690,15,1
5,DeleteRecord,1750885511.780346,63686,45,1
1,ReadRecord,1750885511.780355,49539,26,1
1,ReadRecord,1750885511.780370,49369,32,1
1,ReadRecord,1750885511.780379,49380,38,1
1,ReadRecord,1750885511.780401,49369,4,1
3,ScanRecord,1750885511.780412,345582,0,1
1,ReadRecord,1750885511.780443,49541,37,1
3,ScanRecord,1750885511.780455,341633,1,1
6,ReadModifyWriteRecord,1750885511.780482,171828,33,1
3,ScanRecord,1750885511.780500,343964,35,1
1,ReadRecord,1750885511.780552,49435,17,1
