Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.600,33.019,16.790,24.311,31.214,37.199,46.448,59.423,92.441,92.441,0.030
5,19.400,49.724,17.732,30.419,35.405,46.915,66.723,118.691,316.083,316.083,0.020
10,17.400,34.457,15.746,28.833,33.744,39.308,45.968,48.181,62.181,62.181,0.029
15,20.400,37.368,12.274,26.245,33.067,37.916,43.698,47.615,250.421,257.773,0.027
20,25.800,32.500,16.442,26.321,32.201,36.450,41.249,45.508,78.775,98.572,0.031
25,26.200,31.816,16.704,27.276,33.178,35.013,39.066,41.913,45.839,67.326,0.031
30,24.600,31.769,10.237,26.240,32.723,36.114,41.088,46.239,48.828,51.341,0.031
35,26.600,31.841,14.062,26.118,31.727,36.468,41.560,45.534,47.146,49.679,0.031
40,30.000,32.620,10.297,27.585,33.500,37.782,41.944,43.654,46.325,46.557,0.031
45,33.000,31.432,14.958,26.367,32.530,36.245,40.398,42.415,47.793,53.509,0.032
50,26.600,32.931,11.486,28.007,33.345,38.000,40.743,45.806,48.001,49.119,0.030
55,30.800,31.808,8.571,26.717,32.448,37.629,41.183,43.624,47.057,47.388,0.031
