Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,35.400,332.017,4.399,80.919,273.103,429.911,598.312,847.231,2161.298,3360.463,0.003
5,39.200,261.858,5.411,90.889,238.142,352.453,523.739,785.375,1012.753,1525.855,0.004
10,38.800,248.313,5.829,110.225,222.108,331.061,443.264,551.866,1482.096,1485.092,0.004
15,42.800,265.658,5.610,107.067,184.601,256.116,366.213,825.195,2353.372,2502.623,0.004
20,48.800,164.976,5.133,51.144,145.650,218.857,303.607,403.942,937.614,990.634,0.006
25,44.800,155.935,5.254,35.690,126.828,236.314,351.727,429.980,499.297,535.104,0.006
30,54.200,221.778,5.228,76.286,141.977,240.624,391.542,880.053,1520.092,2325.086,0.005
35,60.200,183.440,5.019,41.812,99.644,217.282,413.338,689.436,1277.425,1597.548,0.005
40,57.400,195.447,5.551,41.433,139.763,230.774,423.156,753.446,1087.680,1256.946,0.005
45,61.600,185.776,5.200,39.709,105.694,189.402,369.110,650.117,1601.227,4583.592,0.005
50,56.000,225.908,5.219,38.124,100.451,181.751,395.215,1023.599,2519.726,3086.950,0.004
55,51.600,202.467,4.977,39.785,127.971,209.062,472.335,926.239,1558.919,1927.056,0.005
