Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,350.200,148.730,2.271,3.241,33.592,195.069,476.487,641.471,923.859,3360.463,0.007
5,370.800,133.738,2.540,3.345,34.155,188.975,442.823,598.647,760.454,1525.855,0.007
10,370.800,135.283,2.435,3.278,34.638,196.897,446.663,557.697,734.651,1485.092,0.007
15,420.000,119.168,2.288,3.231,33.997,157.371,341.075,468.661,963.763,2502.623,0.008
20,558.200,87.885,2.341,3.162,27.140,124.798,289.946,380.814,516.930,990.634,0.011
25,516.000,97.568,2.431,3.148,24.753,122.095,333.673,477.027,653.644,831.128,0.010
30,553.600,92.062,2.403,3.215,33.159,121.567,259.790,369.486,712.049,2325.086,0.011
35,590.600,83.234,2.284,3.189,25.483,98.796,258.648,380.990,603.725,1597.548,0.012
40,571.600,87.976,2.319,3.241,31.134,122.666,260.307,362.141,600.480,1256.946,0.011
45,653.200,79.433,2.275,3.215,28.210,98.724,230.165,319.117,647.445,4583.592,0.013
50,570.600,83.224,2.255,3.248,30.338,93.934,204.408,278.120,905.743,3086.950,0.012
55,575.200,80.407,2.307,3.322,30.859,102.101,230.374,321.122,555.526,1927.056,0.012
