Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,103.000,27.865,8.784,19.546,24.999,32.634,44.019,51.775,64.594,87.762,0.036
5,110.200,26.775,8.258,18.639,22.822,30.106,39.816,51.788,73.074,96.289,0.037
10,90.000,28.261,8.455,19.978,24.236,33.644,43.248,50.922,70.095,95.549,0.035
15,104.000,25.344,8.694,18.463,21.414,29.113,38.176,46.911,63.920,77.950,0.039
20,100.600,25.979,8.307,18.802,22.766,29.682,38.519,44.525,69.150,85.872,0.038
25,95.000,27.501,8.460,19.921,24.626,33.437,42.915,46.364,70.496,84.418,0.036
30,105.800,26.442,8.197,18.824,23.096,29.786,43.101,46.829,62.107,80.607,0.038
35,80.600,29.342,9.299,20.759,24.997,33.593,44.814,52.670,74.481,122.255,0.034
40,108.800,26.068,8.161,18.958,22.536,29.729,38.444,46.335,61.088,71.174,0.038
45,96.600,27.325,7.704,19.273,23.215,31.507,42.634,53.632,74.774,114.397,0.037
50,101.200,26.455,8.711,19.747,22.535,30.607,41.272,47.224,56.219,75.046,0.038
55,96.200,26.954,8.398,19.244,22.695,31.390,43.446,49.161,63.567,103.040,0.037
