Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,212.200,36.263,0.346,29.890,31.786,41.789,50.292,57.512,83.114,134.093,0.028
5,219.200,33.991,6.597,29.259,30.470,36.069,43.360,48.906,72.892,122.581,0.029
10,184.800,42.470,6.103,31.005,37.055,49.654,64.426,74.744,99.349,159.399,0.024
15,222.800,34.830,6.525,29.299,30.893,39.589,45.623,52.272,66.126,109.256,0.029
20,202.200,38.836,7.109,29.704,31.670,41.258,56.475,71.040,121.896,165.478,0.026
25,186.800,40.766,6.504,30.747,36.520,47.683,59.269,65.833,87.578,126.960,0.025
30,218.800,33.408,6.495,29.558,30.648,36.167,42.044,47.097,60.577,76.871,0.030
35,164.400,47.971,8.592,35.048,42.977,56.181,71.983,81.548,115.340,159.615,0.021
40,224.000,32.893,6.915,29.330,30.293,34.011,41.473,44.251,61.516,76.337,0.030
45,185.600,41.060,7.556,29.925,35.596,45.542,59.546,78.644,105.253,175.205,0.024
50,205.400,35.957,7.610,30.282,31.984,39.358,47.406,57.084,72.663,94.217,0.028
55,197.800,39.163,6.829,30.111,32.242,43.802,55.441,64.535,99.348,312.676,0.026
