Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,158.200,12.118,0.010,11.206,13.109,14.289,16.567,24.666,48.546,77.294,0.083
5,164.600,13.283,1.945,12.095,12.786,13.692,15.183,17.063,36.554,81.891,0.075
10,139.400,18.242,0.016,12.534,14.449,22.864,31.074,38.278,53.187,94.276,0.055
15,160.600,13.286,1.966,11.702,12.460,13.420,16.527,22.452,30.804,39.709,0.075
20,148.000,15.416,2.146,11.749,12.623,14.520,26.329,34.163,46.762,81.667,0.065
25,136.600,16.925,2.054,11.892,13.601,20.049,28.359,35.108,47.681,67.303,0.059
30,178.600,12.827,1.964,11.561,12.186,13.037,14.814,22.049,32.563,38.911,0.078
35,121.800,21.171,2.079,13.385,17.520,27.417,35.250,41.371,57.931,86.115,0.047
40,164.400,12.553,2.134,11.484,12.194,13.055,14.201,16.688,25.830,47.774,0.080
45,134.600,16.898,1.923,11.744,12.981,18.391,29.963,36.799,60.142,72.934,0.059
50,148.200,14.626,2.224,11.948,12.718,14.312,22.707,29.821,42.248,50.898,0.068
55,141.600,16.062,2.138,11.738,12.652,15.448,28.480,35.700,47.037,96.582,0.062
