Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,973,973.000,7,5225,12983,20872,32331,48546,59718,96026,139162
1,1106,1106.000,4,5100,14189,18082,29243,37997,44132,60603,98397
2,1024,1024.000,12,5087,15972,19613,30100,41333,48421,65770,101417
3,1094,1094.000,26,5154,14233,18042,29701,35754,43462,56727,89409
4,1123,1123.000,18,5077,13959,17947,28737,35938,43436,57512,103114
5,1124,1124.000,2001,5043,15270,17653,28237,33235,39885,51788,93405
6,1055,1055.000,2252,5060,14115,18858,29105,36394,43164,92242,123893
7,1120,1120.000,1987,5111,14131,17878,28907,32753,41079,60100,81678
8,1115,1115.000,1945,5021,14096,17991,28791,33486,40823,65064,87742
9,1093,1093.000,2125,5132,14060,18260,29153,35066,41893,60857,122581
10,1149,1149.000,16,5184,14447,17375,28602,32220,39126,46961,81172
11,907,907.000,22,5064,16497,22350,29647,48632,66733,94276,159399
12,756,756.000,2251,5722,22873,26458,40165,55460,63780,84957,116543
13,810,810.000,2460,5728,21942,24469,36799,49241,56843,74744,115203
14,831,831.000,2987,5726,22187,24017,36080,47648,54050,73602,86810
15,896,896.000,2086,5346,19437,22317,34890,45593,53019,73300,109256
16,1170,1170.000,1966,5177,13749,17014,26996,31433,39426,51943,134527
17,1126,1126.000,2400,5156,14675,17755,28395,33773,41592,53654,78441
18,1146,1146.000,2214,5280,13383,17521,28620,32590,39496,55433,84505
19,1128,1128.000,2420,5320,13344,17689,28680,34571,40544,53299,69442
20,1113,1113.000,2284,5216,13745,17851,28930,34099,39865,50046,87160
21,1091,1091.000,2267,5281,15644,18321,28397,32888,40062,69798,96394
22,1073,1073.000,2214,5263,15742,18561,29203,35764,42353,56591,87519
23,954,954.000,2146,5240,17004,21163,29638,42042,52144,119159,165478
24,741,741.000,2165,5714,21481,27004,38256,58097,71146,102537,135793
25,785,785.000,2054,6308,21550,25516,37550,53527,63971,88686,126960
26,791,791.000,2708,6301,22199,25397,38732,51792,59216,82237,139619
27,833,833.000,3016,5731,21006,23754,35314,48949,57052,78355,89562
28,1078,1078.000,2329,5417,15869,18580,29157,35569,41053,56708,77464
29,1099,1099.000,2196,5281,15579,18050,28544,34688,40133,52564,77678
30,1173,1173.000,1964,5263,12898,17126,28373,32040,39294,50175,82277
31,1105,1105.000,2385,5317,14826,17974,29011,33765,39261,50478,103631
32,1122,1122.000,2211,5299,12979,18062,29190,35059,42001,64558,104163
33,1166,1166.000,2326,5219,12531,16972,28098,32275,39413,54096,97180
34,1114,1114.000,2120,5333,14168,18011,28494,34676,42049,56765,105587
35,923,923.000,2319,5486,17258,21777,30536,41371,61438,88611,132835
36,750,750.000,2079,5789,21085,26513,40178,57463,69284,122255,159615
37,785,785.000,2742,6073,22292,25537,37142,54068,61078,74237,105577
38,822,822.000,2532,5909,21835,24364,36931,48948,61052,89194,155699
39,802,802.000,2281,5682,21571,24707,37889,50611,59770,83010,89895
40,1149,1149.000,2150,5319,14138,17704,28519,32396,39487,53212,79929
41,1109,1109.000,2134,5328,13902,17716,28750,33847,39663,47541,79298
42,1126,1126.000,2199,5320,13212,17731,28774,32455,40121,60606,125501
43,1200,1200.000,2280,5401,12997,16696,27638,31029,36059,50811,64042
44,1122,1122.000,2520,5340,14071,17804,28575,32182,41239,57816,88495
45,1158,1158.000,2616,5275,12949,17264,28486,31903,39052,52638,79024
46,1155,1155.000,1992,5315,13280,17355,28213,32221,38580,49072,119162
47,890,890.000,1923,5401,17696,22800,31397,48784,64294,98832,175205
48,766,766.000,2809,5984,21316,25968,39707,54495,66118,98216,120051
49,805,805.000,2635,5827,21279,24810,37168,51756,58136,85527,148196
50,808,808.000,2224,5998,22453,24632,37594,49032,57116,75046,103422
51,963,963.000,2410,5603,16808,20591,31138,40254,48844,73129,103837
52,1118,1118.000,2584,5433,14701,18082,28818,32951,39156,56219,109936
53,1134,1134.000,2299,5418,14035,17411,28780,32291,39341,45739,67561
54,1091,1091.000,2341,5579,14094,18347,29684,33937,42074,58896,89608
55,946,946.000,2527,5512,18279,21197,31237,44636,50409,67478,103040
56,931,931.000,2476,5458,16975,21357,31572,45258,53849,73954,93261
57,1166,1166.000,2203,5388,12840,17138,28376,31790,38496,48737,99348
58,1101,1101.000,2138,5474,15969,18159,28607,32432,40814,53673,100402
59,758,758.000,2693,5773,19233,25423,37582,52452,64906,117349,312676
