Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,33.600,71.090,15.000,34.086,68.420,96.529,119.681,135.437,217.745,249.513,0.014
5,34.400,77.194,15.057,34.410,75.790,107.173,135.417,154.201,205.549,208.713,0.013
10,40.800,66.674,8.485,33.133,64.517,93.006,108.730,128.927,172.985,217.549,0.015
15,35.400,71.665,7.802,34.652,66.251,95.476,129.262,155.889,195.337,209.842,0.014
20,39.800,75.125,11.325,50.856,74.202,91.782,110.159,127.843,255.399,381.630,0.013
25,43.000,76.585,13.681,37.408,66.440,100.284,132.616,159.938,191.615,265.711,0.013
30,39.400,66.224,21.012,36.502,62.284,87.576,110.249,119.088,155.997,173.023,0.015
35,38.600,71.437,19.908,34.240,63.943,96.329,124.852,147.139,183.131,188.160,0.014
40,34.000,71.670,16.363,34.398,66.603,94.942,117.408,131.752,220.088,240.028,0.014
45,44.200,72.739,12.685,33.970,65.815,94.466,121.747,137.745,250.544,285.498,0.014
50,43.200,66.986,14.559,33.846,60.092,93.302,112.107,136.008,170.501,255.513,0.015
55,44.800,66.504,13.780,34.444,62.538,90.589,110.182,123.281,166.530,240.164,0.015
