Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,325.200,62.625,1.191,1.784,20.880,89.290,204.958,273.074,378.785,471.596,0.016
5,325.800,61.913,1.136,1.613,17.540,92.882,194.875,274.735,424.720,522.793,0.016
10,392.000,50.753,1.197,1.602,2.881,70.777,165.058,226.416,323.925,503.062,0.020
15,370.200,53.620,1.175,1.618,7.180,69.334,174.562,236.899,360.895,551.129,0.019
20,379.800,52.972,1.143,1.590,8.232,76.669,164.934,224.691,332.090,576.851,0.019
25,391.200,50.622,0.997,1.562,8.257,72.268,154.435,217.596,328.670,454.998,0.020
30,434.600,46.913,1.081,1.623,5.787,66.807,145.050,204.653,306.073,457.057,0.021
35,416.000,47.117,1.150,1.591,2.791,65.093,144.568,213.965,338.032,448.332,0.021
40,391.600,51.144,1.163,1.644,3.008,68.902,166.454,229.436,345.943,514.861,0.020
45,476.800,42.150,1.139,1.610,2.888,61.069,131.808,191.421,289.840,420.063,0.024
50,440.600,45.369,1.161,1.654,3.373,67.121,135.448,193.014,300.058,820.227,0.022
55,464.400,42.034,1.213,1.651,5.367,61.645,126.229,179.054,261.983,553.272,0.024
