Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,324,324.000,1478,2035,29235,67185,89380,196392,299565,397796,456272
1,261,261.000,1229,1808,26526,72303,101747,251069,283053,372862,422908
2,315,315.000,1302,1753,24511,71046,108584,250442,304931,400278,471596
3,390,390.000,1191,1663,3083,48960,68378,170286,235929,318053,347490
4,336,336.000,1244,1775,23090,58672,85307,180837,249513,337802,366581
5,357,357.000,1175,1671,23584,54837,77512,178502,228648,297292,389453
6,324,324.000,1136,1590,18889,63799,94996,194859,296514,378487,407604
7,312,312.000,1147,1639,24122,58921,97554,182560,230932,336210,424865
8,339,339.000,1203,1622,3494,66409,89477,234103,332601,447114,522793
9,297,297.000,1155,1540,20943,66370,98583,200587,289991,434849,503344
10,393,393.000,1197,1622,2945,49754,68985,138631,261183,351842,373891
11,388,388.000,1237,1551,2806,49921,72965,171843,217549,291115,359687
12,444,444.000,1213,1568,3045,45590,65797,137468,206634,274534,282502
13,328,328.000,1210,1641,2203,58759,92964,199670,257363,328808,360772
14,407,407.000,1247,1623,2731,51690,74772,166046,232361,320534,503062
15,372,372.000,1200,1662,25435,52625,91996,168194,200882,240243,271704
16,487,487.000,1188,1595,2423,45226,54710,128787,202392,433105,551129
17,309,309.000,1175,1592,7046,53284,85577,176262,229021,300687,472070
18,385,385.000,1182,1592,3200,56591,83905,188815,250617,303258,382844
19,298,298.000,1331,1686,15480,65085,93670,209842,302058,366751,412969
20,366,366.000,1234,1623,4437,53693,74763,167789,224851,332090,381630
21,410,410.000,1194,1583,7122,51391,69230,166720,228340,310038,576851
22,316,316.000,1222,1613,26631,60321,85839,177007,273388,371411,408109
23,405,405.000,1143,1605,21748,49178,76275,154275,192981,257045,313188
24,402,402.000,1167,1548,1901,51972,79358,185135,218612,342828,441436
25,385,385.000,997,1588,21622,50405,67431,153446,223461,328670,417482
26,352,352.000,1137,1537,2210,56106,99361,183049,246764,388106,454998
27,321,321.000,1209,1591,8257,62620,95264,194370,263900,384962,414107
28,444,444.000,1049,1565,2993,44403,68729,130628,188474,265711,314254
29,454,454.000,1058,1542,23319,44150,66132,126864,161190,254493,338777
30,477,477.000,1192,1624,2623,44556,63075,145822,193119,306715,457057
31,337,337.000,1240,1659,18484,56371,84736,175104,230579,399487,432756
32,448,448.000,1249,1635,17180,42878,61904,124472,196608,259763,340265
33,414,414.000,1212,1651,3175,50007,74620,164712,221207,321960,373698
34,497,497.000,1081,1551,2967,43818,64908,125919,197216,313596,318598
35,374,374.000,1170,1581,3413,47180,62176,125552,221157,407750,448332
36,490,490.000,1150,1580,3010,43271,60190,126581,183160,349322,406616
37,429,429.000,1192,1555,3039,46006,67339,149799,188980,282976,349880
38,398,398.000,1152,1597,2223,49261,75185,153855,226972,334427,385637
39,389,389.000,1255,1617,2621,50933,66341,163793,244490,353841,366980
40,381,381.000,1167,1674,29874,55369,86723,172608,208094,367538,392123
41,394,394.000,1163,1656,3076,48591,64501,166134,221729,305605,437143
42,337,337.000,1206,1674,8765,58979,87163,195427,261502,350972,392788
43,455,455.000,1175,1598,2035,47016,62766,144903,239359,355976,514861
44,391,391.000,1195,1613,2085,47647,67569,157728,218990,335299,403762
45,400,400.000,1227,1621,3600,49767,70321,165195,202086,334172,405197
46,421,421.000,1232,1597,2944,47985,70634,145840,196730,295876,358519
47,457,457.000,1274,1603,8535,42531,66686,131808,188701,259020,318989
48,509,509.000,1196,1573,2072,38233,46477,123667,183270,271045,318292
49,597,597.000,1139,1637,2877,35978,41696,100721,169646,303585,420063
50,311,311.000,1304,1711,25670,64390,98668,199117,281101,369322,380523
51,369,369.000,1187,1643,3273,51320,75417,150700,216376,329227,820227
52,511,511.000,1161,1610,2208,39906,58159,116158,161713,282382,390170
53,444,444.000,1192,1676,16399,43888,71854,130477,165098,260351,278696
54,568,568.000,1216,1640,2505,37160,57635,117235,162852,230962,334245
55,455,455.000,1249,1701,21187,41501,63608,124533,153742,242888,324914
56,541,541.000,1362,1650,6285,37344,58014,97609,162848,218341,292480
57,450,450.000,1213,1624,2016,46165,69793,153210,227665,275448,553272
58,426,426.000,1234,1642,10123,48325,69664,138419,211955,292971,455373
59,450,450.000,1260,1648,6314,38120,54375,107667,162362,267357,327048
