Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1743213068.597882,620500,0,1
1,ReadRecord,1743213069.218463,409473,0,1
1,ReadRecord,1743213069.627955,409611,0,1
2,InsertRecord,1743213070.037587,614364,0,1
5,DeleteRecord,1743213070.651975,1024143,0,1
4,UpdateRecord,1743213071.676142,1216801,0,1
4,UpdateRecord,1743213072.892967,421399,0,1
5,DeleteRecord,1743213073.314391,353108,0,1
3,ScanRecord,1743213073.667525,1387659,0,1
6,ReadModifyWriteRecord,1743213075.055207,819154,0,1
1,ReadRecord,1743213075.874382,349034,0,1
1,ReadRecord,1743213076.223440,290094,0,1
1,ReadRecord,1743213076.513560,296891,0,1
1,ReadRecord,1743213076.810475,384236,0,1
5,DeleteRecord,1743213077.194737,420495,0,1
5,DeleteRecord,1743213077.615256,307007,0,1
1,ReadRecord,1743213077.922283,288716,0,1
3,ScanRecord,1743213078.211022,1349613,0,1
1,ReadRecord,1743213079.560662,409623,0,1
3,ScanRecord,1743213079.970307,512029,0,1
1,ReadRecord,1743213080.482360,409329,0,1
3,ScanRecord,1743213080.891708,1027735,0,1
4,UpdateRecord,1743213081.919466,406176,0,1
3,ScanRecord,1743213082.325662,1228840,0,1
1,ReadRecord,1743213083.554524,349609,0,1
1,ReadRecord,1743213083.904150,366751,0,1
6,ReadModifyWriteRecord,1743213084.270922,616138,0,1
1,ReadRecord,1743213084.887099,407731,0,1
4,UpdateRecord,1743213085.294851,307267,0,1
1,ReadRecord,1743213085.602144,348960,0,1
1,ReadRecord,1743213085.951127,368141,0,1
1,ReadRecord,1743213086.319290,409959,0,1
5,DeleteRecord,1743213086.729278,408800,0,1
5,DeleteRecord,1743213087.138097,409557,0,1
1,ReadRecord,1743213087.547675,409610,0,1
6,ReadModifyWriteRecord,1743213087.957308,501523,0,1
3,ScanRecord,1743213088.458857,1392079,0,1
1,ReadRecord,1743213089.850961,364195,0,1
6,ReadModifyWriteRecord,1743213090.215204,609256,0,1
3,ScanRecord,1743213090.824504,1023907,0,1
2,InsertRecord,1743213091.848434,414653,0,1
4,UpdateRecord,1743213092.263110,404748,0,1
1,ReadRecord,1743213092.667908,289284,0,1
1,ReadRecord,1743213092.957287,411660,0,1
1,ReadRecord,1743213093.369012,289614,0,1
3,ScanRecord,1743213093.658649,1159399,0,1
3,ScanRecord,1743213094.818090,820002,0,1
1,ReadRecord,1743213095.638115,362235,0,1
2,InsertRecord,1743213096.000373,353634,0,1
1,ReadRecord,1743213096.354049,409492,0,1
6,ReadModifyWriteRecord,1743213096.763565,560261,0,1
1,ReadRecord,1743213097.323846,361802,0,1
3,ScanRecord,1743213097.685672,409294,0,1
4,UpdateRecord,1743213098.094995,352043,0,1
6,ReadModifyWriteRecord,1743213098.447088,437040,0,1
5,DeleteRecord,1743213098.884176,312877,0,1
1,ReadRecord,1743213099.197091,328221,0,1
1,ReadRecord,1743213099.525380,412767,0,1
1,ReadRecord,1743213099.938185,348762,0,1
4,UpdateRecord,1743213100.286966,367861,0,1
1,ReadRecord,1743213100.654849,410596,0,1
1,ReadRecord,1743213101.065494,408485,0,1
5,DeleteRecord,1743213101.473999,295007,0,1
1,ReadRecord,1743213101.769028,426867,0,1
