Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.200,819.154,819.154,819.154,819.154,819.154,819.154,819.154,819.154,819.154,0.001
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.400,558.831,501.523,501.523,616.138,616.138,616.138,616.138,616.138,616.138,0.002
20,0.200,609.256,609.256,609.256,609.256,609.256,609.256,609.256,609.256,609.256,0.002
25,0.400,498.651,437.040,437.040,560.261,560.261,560.261,560.261,560.261,560.261,0.002
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.200,614.365,614.365,614.365,614.365,614.365,614.365,614.365,614.365,614.365,0.002
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.200,522.408,522.408,522.408,522.408,522.408,522.408,522.408,522.408,522.408,0.002
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
55,0.400,448.891,446.268,446.268,451.514,451.514,451.514,451.514,451.514,451.514,0.002
