Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.600,479.861,409.473,409.473,409.611,620.500,620.500,620.500,620.500,620.500,0.002
5,1.000,321.794,288.716,290.094,296.891,349.034,384.236,384.236,384.236,384.236,0.003
10,0.600,389.520,349.609,349.609,409.329,409.623,409.623,409.623,409.623,409.623,0.003
15,1.200,385.192,348.960,366.751,407.731,409.610,409.959,409.959,409.959,409.959,0.003
20,0.800,338.688,289.284,289.614,364.195,411.660,411.660,411.660,411.660,411.660,0.003
25,0.600,377.843,361.802,361.802,362.235,409.492,409.492,409.492,409.492,409.492,0.003
30,1.400,383.464,328.221,348.552,408.485,412.767,426.867,426.867,426.867,426.867,0.003
35,1.200,364.049,306.926,325.300,407.342,409.390,409.545,409.545,409.545,409.545,0.003
40,1.000,388.252,348.690,364.368,409.072,409.376,409.755,409.755,409.755,409.755,0.003
45,1.000,344.173,290.575,348.515,355.866,361.379,364.529,364.529,364.529,364.529,0.003
50,1.600,354.414,288.861,289.538,324.709,416.314,507.952,507.952,507.952,507.952,0.003
55,1.000,293.209,288.823,290.647,292.372,295.561,298.644,298.644,298.644,298.644,0.003
