Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2,2.000,409473,409473,620500,514986,620500,620500,620500,620500,620500
1,2,2.000,409611,409611,614364,511987,614364,614364,614364,614364,614364
2,1,1.000,1024143,1024143,1024143,1024143,1024143,1024143,1024143,1024143,1024143
3,1,1.000,1216801,1216801,1216801,1216801,1216801,1216801,1216801,1216801,1216801
4,2,2.000,353108,353108,421399,387253,421399,421399,421399,421399,421399
5,1,1.000,1387659,1387659,1387659,1387659,1387659,1387659,1387659,1387659,1387659
6,1,1.000,819154,819154,819154,819154,819154,819154,819154,819154,819154
7,3,3.000,290094,290094,296891,312006,349034,349034,349034,349034,349034
8,2,2.000,384236,384236,420495,402365,420495,420495,420495,420495,420495
9,3,3.000,288716,288716,307007,648445,1349613,1349613,1349613,1349613,1349613
10,1,1.000,409623,409623,409623,409623,409623,409623,409623,409623,409623
11,2,2.000,409329,409329,512029,460679,512029,512029,512029,512029,512029
12,1,1.000,1027735,1027735,1027735,1027735,1027735,1027735,1027735,1027735,1027735
13,2,2.000,406176,406176,1228840,817508,1228840,1228840,1228840,1228840,1228840
14,1,1.000,349609,349609,349609,349609,349609,349609,349609,349609,349609
15,2,2.000,366751,366751,616138,491444,616138,616138,616138,616138,616138
16,2,2.000,307267,307267,407731,357499,407731,407731,407731,407731,407731
17,3,3.000,348960,348960,368141,375686,409959,409959,409959,409959,409959
18,3,3.000,408800,408800,409557,409322,409610,409610,409610,409610,409610
19,2,2.000,501523,501523,1392079,946801,1392079,1392079,1392079,1392079,1392079
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,2,2.000,364195,364195,609256,486725,609256,609256,609256,609256,609256
22,1,1.000,1023907,1023907,1023907,1023907,1023907,1023907,1023907,1023907,1023907
23,2,2.000,404748,404748,414653,409700,414653,414653,414653,414653,414653
24,3,3.000,289284,289284,289614,330186,411660,411660,411660,411660,411660
25,1,1.000,1159399,1159399,1159399,1159399,1159399,1159399,1159399,1159399,1159399
26,1,1.000,820002,820002,820002,820002,820002,820002,820002,820002,820002
27,3,3.000,353634,353634,362235,375120,409492,409492,409492,409492,409492
28,2,2.000,361802,361802,560261,461031,560261,560261,560261,560261,560261
29,3,3.000,352043,352043,409294,399459,437040,437040,437040,437040,437040
30,3,3.000,312877,312877,328221,351288,412767,412767,412767,412767,412767
31,2,2.000,348762,348762,367861,358311,367861,367861,367861,367861,367861
32,3,3.000,295007,295007,408485,371362,410596,410596,410596,410596,410596
33,2,2.000,426867,426867,1121230,774048,1121230,1121230,1121230,1121230,1121230
34,1,1.000,348552,348552,348552,348552,348552,348552,348552,348552,348552
35,3,3.000,368155,368155,409604,395838,409755,409755,409755,409755,409755
36,2,2.000,306926,306926,614365,460645,614365,614365,614365,614365,614365
37,3,3.000,325300,325300,325792,355314,414851,414851,414851,414851,414851
38,2,2.000,369978,369978,407342,388660,407342,407342,407342,407342,407342
39,3,3.000,409390,409390,409545,477828,614549,614549,614549,614549,614549
40,2,2.000,409392,409392,1024175,716783,1024175,1024175,1024175,1024175,1024175
41,1,1.000,409376,409376,409376,409376,409376,409376,409376,409376,409376
42,3,3.000,292106,292106,309276,341490,423089,423089,423089,423089,423089
43,2,2.000,409072,409072,409755,409413,409755,409755,409755,409755,409755
44,3,3.000,348690,348690,364368,389224,454614,454614,454614,454614,454614
45,2,2.000,299605,299605,522408,411006,522408,522408,522408,522408,522408
46,2,2.000,295328,295328,991613,643470,991613,991613,991613,991613,991613
47,2,2.000,355866,355866,361379,358622,361379,361379,361379,361379,361379
48,3,3.000,348515,348515,364529,375239,412673,412673,412673,412673,412673
49,2,2.000,290575,290575,829269,559922,829269,829269,829269,829269,829269
50,2,2.000,416314,416314,823915,620114,823915,823915,823915,823915,823915
51,1,1.000,408636,408636,408636,408636,408636,408636,408636,408636,408636
52,3,3.000,289538,289538,324709,374066,507952,507952,507952,507952,507952
53,3,3.000,299601,299601,309841,358482,466004,466004,466004,466004,466004
54,3,3.000,288861,288861,289462,291204,295290,295290,295290,295290,295290
55,4,4.000,290811,295511,298644,332808,446268,446268,446268,446268,446268
56,2,2.000,308388,308388,347063,327725,347063,347063,347063,347063,347063
57,3,3.000,288823,288823,290647,389283,588381,588381,588381,588381,588381
58,3,3.000,288602,288602,292372,344162,451514,451514,451514,451514,451514
59,2,2.000,290470,290470,295561,293015,295561,295561,295561,295561,295561
