Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.000,503.280,311.950,467.772,474.610,608.205,627.804,756.283,756.283,756.283,0.002
5,4.800,372.002,312.601,314.245,318.519,410.601,474.429,475.971,606.797,606.797,0.003
10,5.200,335.816,311.101,312.467,313.682,317.496,402.811,467.179,473.414,473.414,0.003
15,4.800,321.250,310.242,312.035,313.352,316.573,318.460,404.724,406.544,406.544,0.003
20,4.800,337.885,311.522,314.881,316.534,401.357,407.262,407.404,410.003,410.003,0.003
25,5.200,335.702,310.391,312.984,316.532,317.956,406.958,407.017,408.110,408.110,0.003
30,4.200,331.113,311.112,313.046,315.541,316.989,401.794,404.402,405.647,405.647,0.003
35,5.400,324.368,310.380,311.985,315.591,318.744,400.598,401.112,406.874,406.874,0.003
40,4.000,335.910,310.499,311.896,316.316,400.278,404.859,406.994,406.994,406.994,0.003
45,5.000,332.069,310.572,312.236,315.828,316.877,401.739,404.779,410.577,410.577,0.003
50,6.200,340.170,310.136,312.177,316.215,401.331,405.311,405.436,406.468,406.468,0.003
55,6.800,330.676,310.743,312.531,316.904,317.783,405.213,406.427,407.633,407.633,0.003
