Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.600,496.778,467.321,469.011,474.816,495.885,632.247,632.247,632.247,632.247,0.002
5,2.200,365.923,312.605,313.180,314.204,470.810,475.261,475.362,475.362,475.362,0.003
10,2.800,381.684,312.377,313.458,317.643,472.119,477.201,609.453,609.453,609.453,0.003
15,3.000,356.855,311.917,312.638,313.007,406.579,468.192,609.179,609.179,609.179,0.003
20,3.200,326.797,312.946,313.781,316.269,317.099,406.466,408.095,408.095,408.095,0.003
25,3.000,336.884,311.786,312.398,314.617,318.223,407.168,468.285,468.285,468.285,0.003
30,2.000,315.638,312.135,313.711,316.871,317.352,318.192,318.192,318.192,318.192,0.003
35,3.200,338.443,311.245,314.006,317.661,406.435,407.574,407.806,407.806,407.806,0.003
40,2.200,348.809,312.223,312.690,313.600,318.139,406.393,603.002,603.002,603.002,0.003
45,3.200,336.806,311.246,312.580,316.787,401.402,407.041,407.415,407.415,407.415,0.003
50,2.000,340.969,311.477,312.979,313.762,400.715,408.276,408.276,408.276,408.276,0.003
55,1.600,327.465,312.354,316.594,317.874,318.207,406.628,406.628,406.628,406.628,0.003
