Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.600,896.661,312.316,468.817,933.880,1261.963,1613.473,1702.921,1792.180,1792.180,0.001
5,7.000,420.653,312.937,319.414,326.603,475.252,609.211,831.394,1297.435,1297.435,0.002
10,8.200,347.225,313.476,317.783,323.976,327.847,407.725,411.394,629.474,629.474,0.003
15,10.400,395.693,311.879,317.162,320.927,407.968,466.109,476.337,1784.926,1784.926,0.003
20,8.000,340.570,311.553,316.544,319.372,327.114,409.954,416.520,470.182,470.182,0.003
25,6.000,455.904,312.036,315.967,320.017,322.599,465.899,2201.393,2241.362,2241.362,0.002
30,9.800,453.173,311.147,315.941,318.706,328.861,415.182,998.454,3182.177,3182.177,0.002
35,9.400,428.902,311.158,316.579,321.812,410.276,477.338,1130.844,2271.930,2271.930,0.002
40,7.800,455.896,311.720,316.321,318.620,323.609,636.425,1768.936,2054.132,2054.132,0.002
45,8.600,464.495,311.170,317.526,320.548,412.140,790.088,1133.726,2241.254,2241.254,0.002
50,8.200,494.862,311.980,317.383,320.393,413.009,975.543,1308.676,2249.045,2249.045,0.002
55,7.200,460.425,310.947,315.767,319.133,325.478,630.908,2055.470,2646.504,2646.504,0.002
