Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.000,670.130,311.256,313.727,468.914,1302.680,1466.650,1535.578,1535.578,1535.578,0.001
5,5.400,335.570,310.898,311.974,313.418,317.667,402.388,406.243,609.231,609.231,0.003
10,7.000,330.660,311.927,312.743,315.885,318.827,406.417,407.604,408.469,408.469,0.003
15,4.400,327.001,311.002,312.971,315.513,317.046,400.761,406.598,408.610,408.610,0.003
20,4.800,327.821,311.268,313.241,315.443,317.143,401.119,406.241,451.742,451.742,0.003
25,7.000,319.674,309.871,312.723,314.734,317.257,318.541,402.367,404.926,404.926,0.003
30,5.200,332.974,311.655,313.415,315.516,317.310,406.139,406.332,458.376,458.376,0.003
35,4.200,349.548,310.995,312.274,314.669,405.632,406.266,452.986,473.564,473.564,0.003
40,6.000,335.035,310.119,312.494,315.815,317.094,406.218,406.665,407.327,407.327,0.003
45,7.200,323.865,310.976,312.350,313.788,316.489,400.340,406.555,407.222,407.222,0.003
50,5.800,326.594,311.156,312.330,314.064,316.986,404.754,406.589,407.549,407.549,0.003
55,6.000,320.743,310.873,312.810,315.717,317.077,318.763,401.835,406.184,406.184,0.003
