Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,38.200,564.836,309.430,316.133,467.878,625.481,1240.449,1378.976,1702.921,1792.180,0.002
5,51.600,367.993,309.921,312.625,316.467,405.510,475.173,505.289,813.729,1297.435,0.003
10,57.600,349.918,309.627,312.335,316.087,400.663,468.760,475.490,610.108,812.074,0.003
15,56.800,360.677,310.103,312.085,316.154,402.635,470.972,476.337,612.610,1784.926,0.003
20,55.800,349.206,309.723,311.925,316.091,399.909,468.663,475.910,609.374,610.821,0.003
25,55.000,360.784,309.701,312.317,315.967,399.721,466.983,474.745,735.882,2241.362,0.003
30,55.000,368.006,309.914,312.201,315.941,400.250,468.033,476.052,998.454,3182.177,0.003
35,54.600,366.589,309.953,312.246,316.234,404.775,470.393,476.454,1130.844,2271.930,0.003
40,54.400,365.963,309.389,312.310,316.031,403.141,468.229,476.338,1755.079,2054.132,0.003
45,55.800,362.324,309.744,312.010,315.784,399.742,466.065,477.056,1133.726,2241.254,0.003
50,53.600,371.372,309.961,312.074,315.990,401.310,469.345,600.017,1308.676,2249.045,0.003
55,50.000,354.678,309.846,311.783,315.717,317.874,407.633,473.240,634.705,2646.504,0.003
