Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,94.600,120.752,0.671,1.921,146.030,209.205,243.555,262.677,312.138,352.759,0.008
5,81.200,167.191,0.544,143.500,173.323,221.751,251.857,273.454,298.683,335.816,0.006
10,83.000,165.640,0.639,131.125,173.875,230.535,267.887,298.662,501.891,671.524,0.006
15,88.200,169.693,0.813,143.768,172.865,221.989,253.171,267.527,298.965,328.110,0.006
20,78.400,167.050,6.786,143.172,171.544,210.512,249.031,284.271,420.397,457.986,0.006
25,86.000,164.945,6.804,143.870,169.661,210.560,252.255,283.644,362.100,562.350,0.006
30,82.400,158.963,6.411,137.818,167.489,191.237,244.075,278.087,403.405,569.035,0.006
35,80.200,155.828,7.222,146.291,170.587,193.635,224.832,259.898,309.618,364.634,0.006
40,79.600,171.228,6.092,147.470,176.976,215.429,267.695,286.492,344.744,483.469,0.006
45,92.400,154.957,6.402,142.042,167.093,192.334,223.413,245.004,276.585,352.085,0.006
50,91.400,151.718,6.941,142.927,166.783,186.158,213.492,227.888,312.269,422.666,0.007
55,76.400,156.335,7.405,145.274,170.693,194.466,217.090,235.553,295.099,408.916,0.006
