Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,89.800,289.851,15.739,108.377,279.203,443.461,546.775,603.842,701.082,832.102,0.003
5,88.800,297.728,13.707,102.992,279.767,441.671,568.308,631.994,838.625,2871.608,0.003
10,79.200,323.058,12.249,105.078,325.307,439.526,590.886,755.087,1061.734,1199.988,0.003
15,80.600,237.655,16.351,94.697,252.096,347.158,422.119,461.560,574.402,609.132,0.004
20,84.200,253.296,18.450,102.840,263.360,360.059,435.967,501.886,631.850,762.047,0.004
25,77.200,234.372,17.205,105.207,239.040,328.974,401.531,450.772,528.655,1463.179,0.004
30,90.600,214.857,9.836,95.030,224.917,309.492,359.388,404.389,515.781,621.718,0.005
35,92.800,223.387,18.662,108.321,239.368,314.752,379.213,417.981,498.625,539.228,0.004
40,79.800,221.482,19.076,100.260,225.365,297.024,367.330,466.403,647.715,1322.486,0.005
45,88.000,212.331,15.907,98.446,235.699,302.918,362.057,385.372,462.586,491.517,0.005
50,90.600,203.284,16.147,94.537,218.257,293.536,341.031,381.780,453.059,516.207,0.005
55,77.600,217.378,18.474,106.461,230.345,307.515,365.630,397.945,471.809,575.259,0.005
