Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,309.600,20.245,7.086,13.583,17.605,24.012,32.341,39.429,53.663,175.735,0.049
5,275.200,16.901,7.360,11.591,14.447,19.020,25.628,31.580,43.720,160.576,0.059
10,264.000,19.738,7.409,11.645,14.747,19.475,25.534,33.044,168.443,376.934,0.051
15,309.600,18.538,7.453,12.279,16.022,21.546,27.999,35.013,56.301,238.356,0.054
20,301.200,19.829,8.259,13.127,16.829,22.648,29.234,34.306,47.094,238.339,0.050
25,278.600,22.024,7.978,13.021,17.720,24.651,36.106,48.509,92.075,325.712,0.045
30,322.600,20.422,7.726,13.026,16.985,23.164,31.093,38.462,67.036,286.349,0.049
35,286.400,20.989,8.248,14.191,18.235,24.269,32.335,37.738,50.214,214.093,0.048
40,270.400,23.083,7.763,13.007,18.774,27.719,39.568,49.572,82.554,213.006,0.043
45,305.800,19.336,7.581,12.251,16.795,22.805,30.615,37.103,53.534,182.496,0.052
50,297.400,20.844,7.503,13.153,17.572,24.235,32.826,37.938,100.297,211.365,0.048
55,292.800,21.369,8.469,13.980,18.924,25.158,33.364,38.119,51.444,183.469,0.047
