Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,179.000,208.602,2.362,167.226,202.236,253.443,289.301,308.229,348.349,378.456,0.005
5,159.600,202.920,15.822,161.496,195.219,244.430,274.186,291.985,323.740,353.602,0.005
10,155.600,221.381,11.952,167.679,210.232,260.299,302.284,349.623,575.065,685.336,0.005
15,182.400,198.481,12.124,159.750,193.320,242.389,285.880,303.717,337.892,401.443,0.005
20,171.600,205.224,11.545,165.554,193.951,243.818,280.926,310.089,452.414,535.821,0.005
25,173.400,212.636,10.730,167.734,198.968,251.090,295.061,328.726,446.078,846.348,0.005
30,173.800,203.845,11.669,166.708,190.721,230.756,284.621,314.927,395.840,558.436,0.005
35,165.200,207.755,14.572,174.069,197.015,235.209,284.201,300.060,357.415,586.762,0.005
40,160.400,218.299,14.713,169.743,203.686,261.358,300.744,333.066,405.144,485.936,0.005
45,169.200,202.146,12.929,163.649,192.477,232.774,275.704,295.963,351.971,482.307,0.005
50,168.800,204.897,20.971,167.494,196.081,233.256,279.774,298.372,351.989,507.328,0.005
55,160.600,205.722,16.794,170.444,197.414,231.317,276.161,302.843,335.697,523.691,0.005
