Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,83.800,145.714,74.274,121.413,139.162,159.072,187.442,222.942,287.136,559.684,0.007
5,83.000,136.804,77.533,119.458,134.027,150.962,167.586,182.590,205.559,228.419,0.007
10,76.000,141.683,86.934,123.221,138.831,157.992,177.818,185.051,208.431,283.004,0.007
15,84.200,141.303,62.097,120.428,136.954,155.483,176.570,192.096,229.746,470.726,0.007
20,87.000,147.564,71.350,120.501,139.220,161.409,184.017,218.168,378.034,452.393,0.007
25,79.400,155.723,93.976,131.242,150.344,171.914,205.850,227.415,262.496,311.285,0.006
30,83.000,149.084,76.803,128.369,148.397,164.592,187.551,199.910,227.435,328.682,0.007
35,86.800,154.081,87.771,133.837,150.866,170.273,191.992,209.154,238.235,286.067,0.006
40,84.600,159.095,79.656,129.852,150.414,181.397,207.354,235.556,294.285,398.068,0.006
45,86.000,148.527,79.219,125.656,147.505,167.578,188.559,199.519,232.891,309.256,0.007
50,90.200,151.992,85.102,133.492,148.192,168.633,191.399,204.392,239.187,259.787,0.007
55,83.800,153.988,85.804,130.573,151.535,171.225,195.195,208.928,244.377,310.780,0.006
