Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,892.400,114.523,0.626,15.788,90.870,178.248,264.722,325.744,546.828,832.102,0.009
5,811.800,122.340,0.544,15.829,111.754,173.815,259.118,324.544,576.489,2871.608,0.008
10,773.200,129.742,0.634,15.839,114.002,184.623,279.247,374.940,623.316,1199.988,0.008
15,880.800,113.260,0.587,17.206,107.917,172.922,251.479,299.388,419.032,609.132,0.009
20,855.200,117.014,0.554,17.761,108.211,177.429,260.747,318.386,457.904,762.047,0.009
25,819.400,122.166,0.719,20.668,117.958,182.588,259.812,304.730,433.062,1463.179,0.008
30,881.800,113.264,0.649,18.683,111.981,173.619,243.382,293.726,391.441,621.718,0.009
35,837.600,119.659,0.705,21.342,121.479,181.910,248.608,294.519,397.844,586.762,0.008
40,794.000,125.372,0.655,23.492,125.252,187.191,262.748,299.098,398.724,1322.486,0.008
45,866.400,115.020,0.607,19.986,117.610,175.913,238.509,281.982,367.317,491.517,0.009
50,862.600,116.879,2.170,21.667,121.699,175.942,235.167,283.973,355.957,516.207,0.009
55,814.400,116.148,0.758,21.774,118.385,177.796,234.177,283.528,365.630,575.259,0.009
