Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,NewReservation,1750959342.130345,323782,1,1
2,FindFlights,1750959342.130479,912069,11,1
3,FindOpenSeats,1750959342.130610,70053,12,1
3,FindOpenSeats,1750959342.130724,81287,14,1
4,NewReservation,1750959342.130844,7258,13,1
3,FindOpenSeats,1750959342.130969,60622,15,1
5,UpdateCustomer,1750959342.131026,176091,16,1
3,FindOpenSeats,1750959342.131090,72946,17,1
5,UpdateCustomer,1750959342.131256,160519,18,1
4,NewReservation,1750959342.131386,322418,19,1
6,UpdateReservation,1750959342.131530,1375,20,1
6,UpdateReservation,1750959342.131687,1231,21,1
1,DeleteReservation,1750959342.131792,1231,22,1
5,UpdateCustomer,1750959342.131962,187639,23,1
3,FindOpenSeats,1750959342.132041,68382,24,1
6,UpdateReservation,1750959342.132103,1244,25,1
4,NewReservation,1750959342.132178,24072,26,1
2,FindFlights,1750959342.132251,398509,27,1
6,UpdateReservation,1750959342.132295,1388,28,1
4,NewReservation,1750959342.132419,287269,29,1
3,FindOpenSeats,1750959342.132586,75409,30,1
4,NewReservation,1750959342.132658,19884,31,1
4,NewReservation,1750959342.132778,321235,32,1
3,FindOpenSeats,1750959342.132843,68861,33,1
6,UpdateReservation,1750959342.132983,1741,34,1
3,FindOpenSeats,1750959342.133153,78523,44,1
2,FindFlights,1750959342.133205,570788,35,1
3,FindOpenSeats,1750959342.133208,68203,22,1
2,FindFlights,1750959342.133326,367026,21,1
3,FindOpenSeats,1750959342.133350,93250,47,1
4,NewReservation,1750959342.133391,346555,25,1
4,NewReservation,1750959342.133742,353485,48,1
3,FindOpenSeats,1750959342.134077,73777,37,1
3,FindOpenSeats,1750959342.134322,70636,46,1
6,UpdateReservation,1750959342.134582,3864,36,1
2,FindFlights,1750959342.134816,1890170,5,1
6,UpdateReservation,1750959342.134836,2784,34,1
4,NewReservation,1750959342.134986,19693,38,1
1,DeleteReservation,1750959342.135068,2574,39,1
4,NewReservation,1750959342.135241,345098,49,1
5,UpdateCustomer,1750959342.135461,224709,45,1
6,UpdateReservation,1750959342.135645,3248,40,1
4,NewReservation,1750959342.135762,344564,43,1
6,UpdateReservation,1750959342.136051,3178,41,1
