Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,79.600,60.238,0.592,0.973,82.659,102.613,119.463,128.941,195.904,229.954,0.017
5,78.400,81.020,0.630,67.543,93.124,111.156,126.276,142.641,211.975,224.200,0.012
10,72.000,78.554,0.587,76.805,93.170,102.693,111.492,119.642,192.844,206.256,0.013
15,81.400,84.093,0.526,78.142,96.648,111.463,132.366,142.234,176.387,271.395,0.012
20,84.200,80.091,0.622,76.323,92.929,108.705,123.499,128.798,149.633,201.956,0.012
25,83.200,88.383,0.733,84.553,94.108,106.957,116.625,124.155,136.116,187.654,0.011
30,90.400,91.041,0.617,84.524,94.920,107.626,118.366,127.253,159.682,203.041,0.011
35,80.800,94.679,4.165,87.018,99.804,109.237,117.280,124.972,142.834,147.407,0.011
40,82.800,101.132,4.435,92.388,103.919,116.801,126.378,134.327,144.394,170.852,0.010
45,83.800,100.875,0.719,91.315,101.626,111.977,125.382,133.321,238.713,242.246,0.010
50,73.000,105.235,4.316,92.530,107.581,116.784,133.994,163.677,191.783,241.857,0.010
55,78.600,95.706,0.647,86.730,98.183,109.921,124.763,131.571,147.024,186.981,0.010
