Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,547,547.000,700,9832,59228,102114,153206,258904,343939,536888,1890170
1,504,504.000,609,9743,86332,96326,138525,225683,305552,555914,646957
2,533,533.000,627,9908,81001,94771,147101,227373,264834,430635,516173
3,558,558.000,592,9297,91502,87642,125537,203385,225528,455598,595849
4,508,508.000,674,9517,96747,99784,132907,216816,296231,487573,582372
5,514,514.000,677,9537,99084,99484,140584,220080,252205,455001,569296
6,554,554.000,630,9286,91685,89035,137671,209070,237299,340416,522730
7,470,470.000,646,9335,98514,103195,147904,235269,295988,445075,529765
8,558,558.000,651,8552,90102,92720,136104,214588,259884,471924,562099
9,466,466.000,660,9109,103901,105730,149829,228806,273278,454215,530552
10,515,515.000,663,8570,92386,95948,139861,222648,266620,451249,640786
11,527,527.000,605,8829,94896,98965,131600,219955,314357,492630,545725
12,450,450.000,729,9343,99742,105739,144876,242551,287007,422094,465127
13,536,536.000,587,9001,92511,93197,148409,223160,255806,339164,359416
14,522,522.000,837,8928,100179,95194,140773,213311,228778,326821,371750
15,509,509.000,753,8721,100833,97546,150180,223606,256044,335322,392931
16,508,508.000,640,8412,102116,108517,176320,244207,293151,350952,1064116
17,552,552.000,526,8476,87677,80500,127535,203418,223198,307660,385194
18,560,560.000,708,9785,95418,89568,138318,207637,248949,320283,349152
19,573,573.000,667,10235,99084,90075,133801,204805,233796,331004,401454
20,555,555.000,622,8873,95657,89817,133787,211018,244249,336939,968654
21,547,547.000,670,9048,97095,90312,132752,210410,251552,315240,508986
22,598,598.000,689,8955,91433,83817,127900,177283,228198,334728,357065
23,577,577.000,681,8676,92929,85880,133329,190262,225114,316574,408472
24,599,599.000,666,8786,94011,84326,126258,187881,216459,290108,378520
25,616,616.000,4141,8973,90270,80349,125903,176863,227779,326305,389448
26,573,573.000,809,9098,94618,86797,127288,192229,234359,299273,354731
27,515,515.000,733,9191,107710,95184,138840,187029,240760,334454,410641
28,625,625.000,944,8775,92020,81122,126398,157726,216517,297414,368268
29,583,583.000,1854,9344,95972,86185,127898,173646,214970,301907,363524
30,639,639.000,901,8778,91825,79841,120022,162426,213049,287166,359127
31,545,545.000,4088,9311,97066,90781,142036,186910,233465,307429,460869
32,632,632.000,617,9123,92490,77438,118422,141442,191980,271353,362367
33,606,606.000,642,9908,89156,83762,129292,167552,235545,306522,368211
34,564,564.000,699,9256,99837,88682,129405,177227,232743,306543,478804
35,551,551.000,4165,9003,104105,89811,133088,186443,225961,331032,412778
36,604,604.000,4403,9318,92450,83547,127347,160568,226473,304454,337628
37,520,520.000,4365,9981,100070,98255,135162,210509,266796,391738,1445004
38,531,531.000,4583,9710,102868,93421,134122,195898,246937,338431,421536
39,610,610.000,4251,10091,92304,81396,124176,155468,203486,290307,511035
40,571,571.000,4770,9037,99595,84890,125718,183019,226596,304204,356107
41,580,580.000,4681,9562,92991,88549,126072,198870,244061,323547,385226
42,542,542.000,5055,9700,108585,93244,133125,187177,232269,337177,468907
43,592,592.000,4435,9937,93075,84112,127761,165466,206481,330652,1098390
44,523,523.000,4627,9413,112599,95127,142145,165787,219339,330631,1540187
45,551,551.000,1335,9316,102692,92884,134658,193544,236652,327263,420419
46,460,460.000,719,10316,116121,104446,150191,232490,269214,397049,432709
47,607,607.000,4435,8914,99077,82416,122716,150793,216909,290807,397981
48,589,589.000,4199,9506,98005,82581,125462,154900,218416,329815,361785
49,620,620.000,5530,9966,92493,83056,126321,162739,228496,323799,399070
50,526,526.000,4647,10365,106882,95748,142678,200170,244550,343825,402600
51,542,542.000,4781,10120,107639,91703,137263,193725,241573,327802,345975
52,508,508.000,4316,10322,99871,101966,158317,232330,264458,346970,429712
53,504,504.000,4842,10618,102884,97271,140337,214337,248530,372937,433365
54,525,525.000,5709,10133,100929,93685,133878,213763,253439,345126,402151
55,540,540.000,4861,9747,102196,91228,134512,205205,242265,319478,396586
56,543,543.000,647,10893,103483,93014,134677,180032,240695,351857,462773
57,588,588.000,4229,9248,95497,85097,126002,177042,223778,303772,428639
58,560,560.000,898,9105,93642,89816,131980,182121,244828,321065,399953
59,478,478.000,653,9849,93239,86649,127387,191449,230948,324182,433825
