Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadRecord,1750889824.053421,9678,2,1
1,ReadRecord,1750889824.053421,11210,11,1
3,ScanRecord,1750889824.053458,434984,7,1
6,ReadModifyWriteRecord,1750889824.053479,96317,20,1
4,UpdateRecord,1750889824.053575,95732,19,1
4,UpdateRecord,1750889824.053693,58609,13,1
3,ScanRecord,1750889824.053771,329645,9,1
3,ScanRecord,1750889824.053839,444660,0,1
5,DeleteRecord,1750889824.053880,29314,18,1
6,ReadModifyWriteRecord,1750889824.053888,95881,21,1
1,ReadRecord,1750889824.053918,10259,8,1
1,ReadRecord,1750889824.053967,24783,10,1
3,ScanRecord,1750889824.054028,437580,12,1
5,DeleteRecord,1750889824.054066,22439,6,1
2,InsertRecord,1750889824.054091,95614,22,1
6,ReadModifyWriteRecord,1750889824.054147,94361,15,1
3,ScanRecord,1750889824.054159,190511,4,1
1,ReadRecord,1750889824.054291,8836,17,1
5,DeleteRecord,1750889824.054343,32461,23,1
1,ReadRecord,1750889824.054409,9357,1,1
1,ReadRecord,1750889824.054506,8783,3,1
3,ScanRecord,1750889824.054582,533023,16,1
2,InsertRecord,1750889824.054685,58424,24,1
6,ReadModifyWriteRecord,1750889824.054688,93936,25,1
3,ScanRecord,1750889824.054735,389736,5,1
3,ScanRecord,1750889824.054859,64052,14,1
1,ReadRecord,1750889824.054915,8655,26,1
1,ReadRecord,1750889824.055049,8085,27,1
3,ScanRecord,1750889824.055138,72410,29,1
1,ReadRecord,1750889824.055280,21663,30,1
3,ScanRecord,1750889824.055499,70658,31,1
1,ReadRecord,1750889824.055596,30449,32,1
1,ReadRecord,1750889824.055622,23993,33,1
1,ReadRecord,1750889824.055739,9122,28,1
1,ReadRecord,1750889824.055794,27470,34,1
1,ReadRecord,1750889824.055873,7806,36,1
2,InsertRecord,1750889824.055953,93037,37,1
5,DeleteRecord,1750889824.056085,22715,35,1
3,ScanRecord,1750889824.056252,77248,38,1
3,ScanRecord,1750889824.056372,454480,39,1
4,UpdateRecord,1750889824.056499,161004,43,1
6,ReadModifyWriteRecord,1750889824.056540,92698,46,1
5,DeleteRecord,1750889824.056693,55551,42,1
3,ScanRecord,1750889824.056739,284080,40,1
4,UpdateRecord,1750889824.056889,91838,47,1
1,ReadRecord,1750889824.057054,22941,41,1
1,ReadRecord,1750889824.057279,26083,48,1
1,ReadRecord,1750889824.057346,6562,49,1
1,ReadRecord,1750889824.057530,21741,45,1
1,ReadRecord,1750889824.057796,20241,50,1
1,ReadRecord,1750889824.057873,20737,44,1
1,ReadRecord,1750889824.057948,6659,51,1
1,ReadRecord,1750889824.058154,26159,52,1
4,UpdateRecord,1750889824.058212,90426,53,1
1,ReadRecord,1750889824.058334,22913,54,1
1,ReadRecord,1750889824.058409,28421,55,1
4,UpdateRecord,1750889824.058572,212780,56,1
1,ReadRecord,1750889824.058641,19582,57,1
1,ReadRecord,1750889824.058694,19345,58,1
2,InsertRecord,1750889824.058838,53463,59,1
3,ScanRecord,1750889824.058977,394472,60,1
1,ReadRecord,1750889824.059035,20094,61,1
5,DeleteRecord,1750889824.059092,54072,62,1
1,ReadRecord,1750889824.059311,18167,63,1
1,ReadRecord,1750889824.059470,20886,65,1
1,ReadRecord,1750889824.059539,27523,64,1
1,ReadRecord,1750889824.059541,19730,66,1
1,ReadRecord,1750889824.059640,20727,67,1
4,UpdateRecord,1750889824.059678,157772,68,1
1,ReadRecord,1750889824.059732,20072,69,1
4,UpdateRecord,1750889824.059820,89169,70,1
5,DeleteRecord,1750889824.059907,23564,71,1
1,ReadRecord,1750889824.060064,19264,72,1
1,ReadRecord,1750889824.060212,21225,73,1
3,ScanRecord,1750889824.060319,501472,74,1
