Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,99.600,355.619,10.032,49.885,67.490,103.022,1052.255,2818.740,3181.632,3241.715,0.003
5,75.400,443.789,11.603,36.319,47.550,60.714,3024.639,3156.050,3267.242,3313.000,0.002
10,68.800,480.693,13.729,33.263,45.268,66.392,3163.335,3385.015,3664.839,3776.927,0.002
15,67.400,468.454,9.578,31.928,42.582,69.819,3177.902,3489.717,3562.587,3610.682,0.002
20,62.000,458.397,11.547,32.204,43.042,60.863,3306.337,3464.382,3581.849,3678.567,0.002
25,64.400,434.270,9.191,33.590,49.006,67.758,3199.135,3532.833,3706.276,3791.961,0.002
30,66.400,588.928,9.648,33.109,46.225,70.799,3437.562,3567.806,3800.119,3875.131,0.002
35,72.200,463.147,10.617,30.400,45.869,63.138,3569.892,3752.450,3862.562,3900.285,0.002
40,69.200,511.404,10.466,35.724,47.862,71.516,3624.734,3829.106,3912.970,3977.203,0.002
45,71.800,451.617,12.527,34.294,46.400,67.990,3253.020,3545.165,3826.416,4068.617,0.002
50,50.800,625.839,12.127,32.565,51.114,91.359,4176.796,5450.671,6184.875,6328.157,0.002
55,34.400,71.471,17.357,38.350,66.329,94.795,122.589,134.306,231.986,245.885,0.014
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
