Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,507.800,6.789,3.011,3.850,4.379,6.049,10.781,19.793,52.677,81.890,0.147
5,403.200,3.940,2.783,3.530,3.794,4.121,4.485,4.719,5.596,52.261,0.254
10,349.600,4.027,2.654,3.479,3.725,4.010,4.381,4.658,5.526,96.982,0.248
15,319.000,3.762,2.680,3.450,3.677,3.953,4.285,4.525,5.437,11.964,0.266
20,321.000,3.829,2.689,3.432,3.663,3.945,4.225,4.488,5.103,49.393,0.261
25,347.800,3.753,2.682,3.422,3.671,3.960,4.279,4.587,5.156,24.132,0.266
30,340.200,3.695,2.740,3.367,3.602,3.861,4.158,4.352,4.794,51.655,0.271
35,352.800,3.650,2.596,3.369,3.601,3.878,4.167,4.367,4.809,6.708,0.274
40,360.200,3.661,2.708,3.359,3.585,3.841,4.170,4.381,4.878,20.378,0.273
45,369.000,3.725,2.690,3.421,3.651,3.926,4.243,4.437,5.226,12.199,0.268
50,257.200,3.751,2.854,3.480,3.710,3.958,4.224,4.432,4.900,12.965,0.267
55,190.800,3.864,2.837,3.519,3.749,4.050,4.366,4.717,5.483,27.439,0.259
60,0.400,3.531,3.415,3.415,3.646,3.646,3.646,3.646,3.646,3.646,0.283
