Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,348.065,9.505,48.953,65.878,106.178,1034.763,2750.498,3150.616,3215.992,0.003
5,75.400,429.759,10.261,34.557,47.853,62.090,3038.833,3151.207,3259.179,3321.682,0.002
10,74.400,363.647,10.471,31.910,43.547,58.401,143.490,3315.577,3688.862,3726.886,0.003
15,66.800,412.598,10.843,28.779,42.094,63.112,3110.247,3447.282,3613.218,3652.689,0.002
20,70.800,527.900,8.646,29.638,42.783,66.802,3309.322,3489.978,3619.568,3698.934,0.002
25,68.000,421.476,12.347,34.322,46.758,66.032,3322.162,3501.837,3664.193,3768.802,0.002
30,70.200,502.713,9.224,31.022,44.531,67.809,3392.187,3587.189,3834.780,3920.570,0.002
35,73.200,377.352,9.643,31.712,45.461,64.802,128.704,3721.320,3814.292,3831.628,0.003
40,68.400,452.794,8.873,33.715,46.456,64.432,3526.588,3857.706,3933.121,3992.495,0.002
45,75.800,395.466,8.471,30.801,44.027,64.904,3128.804,3520.012,3945.090,4132.384,0.003
50,55.800,723.772,9.909,32.724,50.478,91.656,5024.518,5606.599,6060.878,6320.188,0.001
55,35.600,69.427,9.017,35.344,60.724,92.893,131.578,165.676,223.637,236.799,0.014
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
