Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1454,1454.000,3242,7617,32753,92435,73030,195415,389736,1380611,1713988
1,1190,1190.000,3098,4404,21924,113386,61792,108008,235747,2389730,2714269
2,903,903.000,3129,4156,6987,147366,54717,90306,966816,2840597,3011087
3,672,672.000,3011,3878,5227,172475,59036,93756,944630,3192387,3241715
4,840,840.000,3013,3802,4932,118300,51163,78651,110468,3030577,3110195
5,801,801.000,2783,3935,6345,163324,48474,67484,105585,3266259,3341012
6,788,788.000,2973,3809,4862,102885,43221,58929,76172,3073754,3246566
7,782,782.000,2804,3722,4640,124280,41556,56736,72702,3059741,3108950
8,856,856.000,2844,3662,4631,133354,34554,50921,66877,3211230,3297641
9,710,710.000,2864,3796,6775,129205,40229,52946,68570,3177607,3247655
10,806,806.000,2654,3825,10884,131014,40415,53267,69095,3083768,3221388
11,770,770.000,2796,3650,5907,134565,36423,52468,99233,3362456,3506591
12,633,633.000,2868,3672,4485,189349,34553,56820,78578,3695216,3776927
13,678,678.000,2920,3757,5134,126989,38330,56409,78084,3532745,3595752
14,623,623.000,2801,3686,8155,148961,46922,76375,104782,3319058,3400017
15,523,523.000,2874,3784,4831,176340,41051,78768,157215,3177902,3220200
16,639,639.000,2436,3625,6488,167612,30797,53634,97749,3477434,3531929
17,688,688.000,2348,3755,7636,160139,32013,48317,68637,3539617,3578102
18,724,724.000,2686,3651,8470,133778,36929,54939,79107,3613218,3669936
19,701,701.000,2680,3677,6263,119795,45228,74479,94506,3404290,3461595
20,726,726.000,2039,3666,5263,170811,37652,61476,88677,3316605,3373106
21,515,515.000,2738,3772,7884,162852,40021,60667,120347,3385701,3420754
22,643,643.000,2794,3676,6493,157760,37950,65536,89707,3453162,3541712
23,795,795.000,2689,3575,4790,145994,28225,48821,73173,3619568,3698934
24,612,612.000,2874,3777,9762,170731,41950,65061,97495,3541298,3566758
25,575,575.000,2755,3760,5306,177224,40081,72416,104065,3682484,3791961
26,610,610.000,2936,3722,5139,136746,41516,63172,87901,3599181,3664193
27,686,686.000,2688,3628,4659,165771,27681,46717,70539,3689004,3768802
28,786,786.000,2682,3665,4788,100795,41997,71831,101851,3422970,3553457
29,777,777.000,2699,3603,4818,125150,37474,58195,78826,3328550,3431422
30,669,669.000,2914,3591,4951,156880,36454,61987,94706,3530846,3567806
31,613,613.000,2922,3657,5958,175423,37869,63215,105512,3494195,3546544
32,727,727.000,2740,3569,4348,146895,34503,63736,91621,3507208,3657753
33,644,644.000,2263,3595,4632,155864,38135,66324,88656,3723727,3813136
34,720,720.000,2910,3593,4662,164026,30774,55594,77144,3834780,3921180
35,678,678.000,2868,3621,5507,146520,40109,68951,87327,3813464,3892473
36,594,594.000,2876,3639,5721,153881,40301,54155,77485,3837663,3900285
37,762,762.000,2687,3595,4726,123195,34361,57774,79645,3629661,3831628
38,727,727.000,2596,3567,4677,141872,34010,60592,86033,3763018,3853215
39,783,783.000,2692,3602,5284,114677,33706,57755,70921,3779894,3843706
40,811,811.000,2708,3587,4454,129373,35687,59891,76895,3617117,3752761
41,690,690.000,2709,3579,4527,158822,39336,65249,87236,3895419,3934147
42,659,659.000,2868,3647,6348,143312,39309,64701,81133,3889139,3948276
43,749,749.000,2816,3536,4843,151688,30677,53412,75057,3916014,3992495
44,673,673.000,2754,3578,4878,125667,39708,70381,94948,3752723,3836578
45,738,738.000,2967,3660,5509,119872,39957,63558,81561,3677546,3740443
46,751,751.000,2754,3576,4541,149680,36693,59269,103371,3569436,3687857
47,746,746.000,2690,3576,4692,118605,31443,51516,66856,3503437,3598790
48,712,712.000,2883,3776,6627,126210,41945,71140,101483,3255140,3334551
49,727,727.000,2833,3660,4504,163003,27424,54033,85492,3945090,4132384
50,585,585.000,2928,3700,6478,239990,30176,53035,103283,5024518,5280540
51,636,636.000,2854,3650,5785,196598,34540,52752,97433,5497405,5546069
52,685,685.000,2869,3739,5484,229212,41558,73702,105639,6062453,6388089
53,341,341.000,3086,3847,7703,261588,62280,116944,186853,6172123,6328157
54,410,410.000,2701,3733,4417,137506,62085,102273,121403,5434116,5735786
55,312,312.000,2837,3799,7506,34748,70631,98867,119881,147286,250850
56,445,445.000,2922,3703,6597,26656,41561,77598,91630,131472,250692
57,431,431.000,2861,3698,4320,29749,43593,94438,133372,195441,236799
58,253,253.000,3061,3836,6643,41779,80845,126908,140456,223637,245885
59,428,428.000,3031,3729,4622,15771,24096,42894,48709,88275,161472
60,2,2.000,3415,3415,3646,3530,3646,3646,3646,3646,3646
