Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,83.400,165.096,9.323,35.729,45.523,60.476,606.509,1234.690,1371.301,1420.638,0.006
5,78.200,187.773,13.330,33.440,43.628,61.335,1124.288,1322.544,1426.714,1435.313,0.005
10,63.200,214.351,9.305,30.698,41.892,58.888,1381.553,1510.285,1698.925,1721.124,0.005
15,67.800,227.095,8.026,32.340,46.218,66.327,1420.018,1609.490,1691.560,1765.384,0.004
20,63.400,236.648,7.993,30.673,44.072,66.592,1575.399,1773.226,1833.457,1914.445,0.004
25,65.000,259.274,8.550,29.326,42.503,62.657,1476.881,1539.418,1650.429,1748.558,0.004
30,72.800,244.578,9.699,30.421,44.070,65.117,1549.241,1606.570,1728.520,1878.610,0.004
35,70.800,218.626,8.438,34.604,50.906,70.569,1427.290,1649.210,1812.634,1827.719,0.005
40,67.800,184.360,8.579,30.528,42.378,62.077,148.559,1528.687,1651.217,1699.061,0.005
45,70.800,220.262,7.759,29.842,41.294,63.220,1462.279,1593.529,1650.232,1717.398,0.005
50,62.200,214.457,9.275,29.126,43.798,64.261,1360.263,1645.350,1743.079,1789.326,0.005
55,63.200,172.210,7.570,26.364,38.126,56.154,128.503,1416.387,1566.685,1662.648,0.006
