Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,42.800,43.832,10.182,34.512,43.338,52.935,61.413,67.246,80.098,91.190,0.023
5,37.000,41.403,10.283,31.818,40.030,50.000,58.466,64.666,97.423,101.890,0.024
10,36.600,42.536,9.831,33.999,42.564,51.129,59.115,63.416,88.106,111.861,0.024
15,30.400,49.879,8.485,34.596,48.083,61.465,78.785,85.604,101.290,109.685,0.020
20,32.200,48.601,9.358,32.682,43.896,59.882,79.408,91.093,97.924,100.252,0.021
25,32.000,43.862,8.514,33.244,43.365,54.572,64.029,70.206,82.696,89.253,0.023
30,37.400,48.612,8.888,33.161,47.883,61.452,76.800,83.448,97.398,102.459,0.021
35,34.200,50.928,16.935,34.582,50.953,63.455,74.328,81.814,129.844,131.785,0.020
40,33.200,47.897,9.251,34.868,46.151,61.714,74.360,79.542,92.364,104.300,0.021
45,31.800,46.403,10.820,34.222,45.106,52.960,67.110,83.815,105.291,106.260,0.022
50,34.000,50.801,17.864,35.839,45.791,64.358,77.737,89.509,129.859,135.039,0.020
55,33.800,42.121,8.070,28.882,37.916,53.573,67.411,76.821,96.581,104.971,0.024
