Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,129.800,38.143,2.214,19.507,37.307,52.261,67.743,79.962,98.774,126.435,0.026
5,112.800,34.554,2.361,16.745,32.366,49.827,63.878,70.188,86.024,130.479,0.029
10,98.400,24.555,2.547,9.060,20.894,33.063,50.474,61.215,77.012,108.403,0.041
15,94.200,26.096,4.202,9.894,20.302,34.709,56.439,66.761,89.205,109.962,0.038
20,88.600,25.287,4.154,10.357,18.331,34.278,54.369,65.434,103.608,129.270,0.040
25,102.600,20.817,4.063,9.233,15.375,26.757,44.825,57.353,70.216,88.422,0.048
30,101.200,20.206,3.830,8.431,14.119,25.925,43.410,55.100,79.126,99.312,0.049
35,114.800,19.124,3.900,7.964,13.304,23.063,43.060,57.054,80.930,89.197,0.052
40,98.400,16.906,4.026,7.556,11.986,18.558,32.780,55.441,85.388,98.878,0.059
45,102.400,16.901,4.279,7.956,12.236,22.274,31.562,43.352,67.827,86.845,0.059
50,100.800,16.951,2.586,7.983,12.406,20.124,36.007,48.386,70.464,81.251,0.059
55,111.400,15.324,3.966,7.889,12.016,17.044,28.684,41.845,67.105,82.000,0.065
