Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,866.600,62.761,2.214,3.968,11.069,45.099,64.289,98.232,1285.111,1494.959,0.016
5,746.200,65.175,2.361,3.857,5.334,41.721,59.891,84.896,1353.492,1435.313,0.015
10,655.600,81.982,2.547,3.706,5.925,38.523,58.899,94.428,1561.705,1789.622,0.012
15,653.800,73.628,2.614,3.702,5.074,40.067,63.897,88.779,1618.821,1765.384,0.014
20,604.800,85.367,2.920,3.818,5.751,40.352,64.982,95.414,1789.918,1914.445,0.012
25,642.400,74.622,2.818,3.713,6.434,38.091,60.497,78.904,1574.127,1777.378,0.013
30,666.400,77.335,2.662,3.738,7.115,38.547,64.147,87.157,1637.295,1878.610,0.013
35,713.600,69.876,2.724,3.682,4.875,40.132,67.033,87.470,1703.781,1974.063,0.014
40,652.400,75.518,2.610,3.639,5.823,36.261,64.626,92.461,1597.613,1713.638,0.013
45,675.600,76.513,2.747,3.600,5.241,36.190,59.068,91.528,1617.606,1744.812,0.013
50,644.600,74.110,2.586,3.692,6.239,38.050,62.920,83.310,1683.684,1813.687,0.013
55,675.600,57.993,2.603,3.651,5.454,30.940,54.481,73.294,1457.764,1690.142,0.017
