Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.800,108.369,0.508,6.379,130.498,171.008,209.986,229.740,238.960,242.081,0.009
5,21.200,139.971,0.491,110.007,137.997,197.802,231.314,240.668,268.812,311.233,0.007
10,22.400,145.241,5.243,117.864,148.737,196.254,214.308,227.045,254.356,268.527,0.007
15,23.000,125.601,5.806,114.377,126.240,151.383,211.111,217.348,224.385,243.673,0.008
20,22.400,117.824,0.572,108.491,122.262,144.821,198.485,221.691,262.632,269.694,0.008
25,23.000,109.301,4.996,102.968,120.421,132.971,146.241,203.501,256.443,268.230,0.009
30,26.800,114.000,5.549,113.112,125.964,136.781,158.291,186.776,215.697,237.686,0.009
35,20.400,109.535,5.068,108.841,121.308,139.250,152.198,170.893,228.455,234.532,0.009
40,23.000,116.136,5.208,107.372,121.290,134.444,157.843,180.738,205.919,241.364,0.009
45,21.600,116.740,5.119,109.225,125.486,137.287,151.279,155.563,196.354,196.709,0.009
50,25.400,110.885,5.474,108.193,123.612,138.146,151.183,156.002,179.417,206.706,0.009
55,22.600,112.558,5.253,108.596,121.470,135.630,149.584,160.865,218.794,233.725,0.009
