Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,47.000,168.154,80.271,130.302,156.617,210.013,228.174,234.689,249.526,275.124,0.006
5,46.600,176.021,11.163,130.301,172.235,218.562,244.634,260.406,312.021,325.986,0.006
10,46.800,158.993,10.110,123.919,140.452,204.499,234.778,246.705,267.193,282.606,0.006
15,44.600,146.986,11.199,120.425,133.476,177.201,222.292,239.482,249.139,257.936,0.007
20,47.200,150.450,13.367,125.003,139.124,161.182,212.630,223.694,240.053,270.402,0.007
25,48.400,152.460,10.309,120.199,133.780,187.434,219.865,236.255,416.951,422.647,0.007
30,43.400,146.361,11.254,123.409,133.753,149.530,211.376,238.959,269.059,293.947,0.007
35,46.200,150.103,10.006,120.629,134.605,167.508,221.760,237.829,261.234,301.180,0.007
40,45.400,145.442,12.397,118.782,130.861,159.795,218.088,226.178,241.900,242.028,0.007
45,43.800,151.440,56.910,123.277,135.428,164.740,226.775,237.444,247.233,263.234,0.007
50,45.000,147.792,11.821,122.400,133.648,161.955,221.437,239.526,256.344,307.056,0.007
55,43.000,147.083,12.249,120.517,133.452,154.016,222.202,234.512,247.175,259.351,0.007
