Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,24.400,117.689,60.133,103.646,116.730,130.266,147.607,156.287,175.961,193.869,0.008
5,23.000,113.432,71.300,97.802,111.125,125.210,139.103,152.918,161.986,166.698,0.009
10,22.600,114.469,55.198,99.977,113.171,127.118,138.255,144.417,167.860,210.965,0.009
15,26.200,109.865,71.465,98.984,109.329,120.500,129.698,134.101,141.995,144.961,0.009
20,20.400,113.339,78.504,100.016,111.377,125.353,134.804,140.198,162.617,163.676,0.009
25,20.800,113.404,76.595,99.892,111.109,125.066,135.211,146.433,161.333,177.585,0.009
30,23.800,114.435,78.166,99.726,114.386,127.224,141.562,145.473,156.667,163.345,0.009
35,22.000,113.074,71.404,99.131,109.501,124.369,137.034,146.279,186.358,219.374,0.009
40,24.000,112.342,65.960,98.573,111.182,124.550,138.400,144.918,153.552,155.996,0.009
45,21.400,115.607,69.101,99.249,115.122,129.826,141.363,148.231,159.749,172.589,0.009
50,23.000,110.656,55.006,96.285,109.200,126.243,136.561,143.182,143.607,151.334,0.009
55,21.600,113.176,62.397,99.277,114.307,125.671,137.588,153.399,168.263,168.759,0.009
