Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,33.000,73.108,0.490,0.895,95.591,106.437,124.049,163.516,218.800,227.187,0.014
5,26.800,85.896,0.448,83.457,100.443,111.345,125.448,141.571,153.800,282.858,0.012
10,35.800,81.810,3.732,75.186,95.307,108.208,116.901,122.591,150.414,208.275,0.012
15,35.800,83.847,0.482,82.261,97.877,107.131,116.921,125.385,140.553,215.705,0.012
20,34.600,83.947,0.555,80.828,93.612,107.875,124.245,131.404,139.228,145.260,0.012
25,30.600,91.079,3.944,87.190,97.481,107.563,117.669,126.448,133.957,141.762,0.011
30,36.000,95.551,3.973,85.162,98.351,109.323,118.656,134.848,151.743,151.950,0.010
35,32.800,94.917,4.229,85.084,98.126,108.070,117.608,129.740,164.057,175.293,0.011
40,32.000,97.874,3.960,89.503,98.758,113.945,121.521,127.930,139.964,140.560,0.010
45,34.800,99.331,3.862,89.248,99.700,110.116,125.439,128.879,153.358,153.476,0.010
50,34.600,95.777,4.373,83.977,97.464,108.794,125.331,134.702,151.958,153.727,0.010
55,33.800,91.848,3.866,88.903,98.219,108.282,116.604,121.660,128.223,130.120,0.011
