Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,235.600,86.088,0.490,10.252,87.630,137.076,207.523,228.673,316.435,448.811,0.012
5,209.400,96.340,0.448,8.678,99.542,141.941,222.455,249.890,338.519,471.306,0.010
10,222.600,89.108,3.732,8.530,96.528,133.932,203.904,228.890,315.844,471.080,0.011
15,237.400,84.131,0.482,8.574,96.127,126.436,194.118,224.647,333.717,507.384,0.012
20,227.600,87.628,0.555,8.553,97.522,132.322,187.193,232.447,358.046,469.993,0.011
25,225.600,88.388,3.944,8.399,95.110,127.742,196.699,236.255,407.974,542.216,0.011
30,239.800,83.661,3.973,8.617,92.498,127.205,156.459,225.185,322.410,457.506,0.012
35,239.600,83.491,4.229,8.439,90.628,126.722,176.931,230.324,340.647,512.704,0.012
40,229.000,87.376,3.960,9.127,98.100,126.290,163.741,225.350,353.556,474.958,0.011
45,218.000,91.994,3.862,8.425,100.752,130.915,178.196,235.810,381.374,507.180,0.011
50,231.200,86.046,4.373,8.630,96.323,128.568,160.962,227.198,340.142,499.013,0.012
55,221.400,87.501,3.866,8.766,98.321,126.797,160.861,233.182,362.879,513.893,0.011
