Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,81.800,61.881,7.959,34.718,44.867,56.720,119.465,205.223,315.311,346.925,0.016
5,78.000,68.198,7.236,31.884,41.252,53.052,191.582,300.993,390.786,406.259,0.015
10,71.000,88.381,8.664,32.485,44.511,63.203,304.747,363.764,482.710,523.053,0.011
15,63.000,77.144,10.014,36.984,48.990,67.945,220.876,281.586,344.621,473.064,0.013
20,59.200,100.359,7.798,39.589,58.726,82.277,281.530,445.787,658.264,682.708,0.010
25,51.000,90.346,9.062,41.304,54.116,75.295,237.949,386.583,540.997,759.583,0.011
30,60.600,85.697,8.657,44.956,57.781,80.122,137.954,353.321,461.774,495.036,0.012
35,68.000,73.367,7.428,33.514,46.307,63.684,195.394,308.522,386.248,438.082,0.014
40,61.600,84.125,7.471,31.584,43.542,64.399,186.799,347.634,1047.397,1085.253,0.012
45,69.800,74.965,7.243,28.268,40.432,59.975,177.783,364.532,453.861,563.217,0.013
50,70.800,75.937,8.735,30.233,40.962,59.611,280.826,350.942,430.047,481.247,0.013
55,71.000,66.368,10.190,29.258,42.494,59.529,139.329,277.323,394.682,456.397,0.015
