Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,ScanRecord,1745423332.258125,13579,13,1
2,InsertRecord,1745423332.258126,24644,10,1
1,ReadRecord,1745423332.258128,9174,14,1
1,ReadRecord,1745423332.258129,9517,8,1
4,UpdateRecord,1745423332.258140,24481,1,1
1,ReadRecord,1745423332.258184,8778,17,1
4,UpdateRecord,1745423332.258263,24215,5,1
1,ReadRecord,1745423332.258370,8752,11,1
4,UpdateRecord,1745423332.258472,24242,18,1
1,ReadRecord,1745423332.258577,8559,4,1
5,DeleteRecord,1745423332.258710,14311,19,1
5,DeleteRecord,1745423332.258855,23898,7,1
1,ReadRecord,1745423332.258957,8345,6,1
5,DeleteRecord,1745423332.259147,23486,0,1
4,UpdateRecord,1745423332.259237,23381,9,1
4,UpdateRecord,1745423332.259359,24666,15,1
5,DeleteRecord,1745423332.259412,23406,2,1
1,ReadRecord,1745423332.259456,7503,16,1
2,InsertRecord,1745423332.259586,23255,3,1
6,ReadModifyWriteRecord,1745423332.259629,51890,12,1
1,ReadRecord,1745423332.267216,4922,16,1
2,InsertRecord,1745423332.267233,44532,11,1
2,InsertRecord,1745423332.267239,44550,17,1
1,ReadRecord,1745423332.267250,5743,4,1
4,UpdateRecord,1745423332.267344,44259,6,1
1,ReadRecord,1745423332.267372,5443,14,1
4,UpdateRecord,1745423332.267858,43873,8,1
6,ReadModifyWriteRecord,1745423332.271736,40108,13,1
1,ReadRecord,1745423332.272173,4419,16,1
1,ReadRecord,1745423332.272849,42378,14,1
6,ReadModifyWriteRecord,1745423332.273058,55786,19,1
1,ReadRecord,1745423332.273065,5324,4,1
1,ReadRecord,1745423332.276625,10288,16,1
3,ScanRecord,1745423332.278422,117087,4,1
1,ReadRecord,1745423332.282513,33218,5,1
3,ScanRecord,1745423332.282656,72994,9,1
1,ReadRecord,1745423332.282675,4561,1,1
1,ReadRecord,1745423332.282683,5505,0,1
1,ReadRecord,1745423332.282762,4516,18,1
1,ReadRecord,1745423332.282799,4926,7,1
5,DeleteRecord,1745423332.282805,46065,10,1
4,UpdateRecord,1745423332.282857,46120,2,1
4,UpdateRecord,1745423332.282991,45845,3,1
5,DeleteRecord,1745423332.284058,44798,15,1
3,ScanRecord,1745423332.286947,104167,16,1
3,ScanRecord,1745423332.287270,107973,1,1
5,DeleteRecord,1745423332.287314,41991,18,1
